time,state,action,new_state,cost,new_state_cost,total_cost
15,"[0, 0, 0]","[(5, 0), (0, 1), (0, 1)]","[5, 0, 0]",544.189985985,0.0,Inf
15,"[0, 0, 5]","[(5, 0), (0, 1), (0, 1)]","[5, 0, 5]",544.189985985,0.0,Inf
15,"[0, 0, 10]","[(5, 0), (0, 1), (0, 1)]","[5, 0, 10]",544.189985985,0.0,Inf
15,"[0, 0, 15]","[(5, 0), (0, 1), (0, 1)]","[5, 0, 15]",544.189985985,0.0,Inf
15,"[0, 0, 20]","[(5, 0), (0, 1), (0, 1)]","[5, 0, 20]",544.189985985,0.0,Inf
15,"[0, 5, 0]","[(5, 0), (0, 1), (0, 1)]","[5, 5, 0]",544.189985985,0.0,Inf
15,"[0, 5, 5]","[(5, 0), (0, 1), (0, 1)]","[5, 5, 5]",544.189985985,0.0,Inf
15,"[0, 5, 10]","[(5, 0), (0, 1), (0, 1)]","[5, 5, 10]",544.189985985,0.0,Inf
15,"[0, 5, 15]","[(5, 0), (0, 1), (0, 1)]","[5, 5, 15]",544.189985985,0.0,Inf
15,"[0, 5, 20]","[(5, 0), (0, 1), (0, 1)]","[5, 5, 20]",544.189985985,0.0,Inf
15,"[0, 10, 0]","[(5, 0), (0, 1), (0, 1)]","[5, 10, 0]",544.189985985,0.0,Inf
15,"[0, 10, 5]","[(5, 0), (0, 1), (0, 1)]","[5, 10, 5]",544.189985985,0.0,Inf
15,"[0, 10, 10]","[(5, 0), (0, 1), (0, 1)]","[5, 10, 10]",544.189985985,0.0,Inf
15,"[0, 10, 15]","[(5, 0), (0, 1), (0, 1)]","[5, 10, 15]",544.189985985,0.0,Inf
15,"[0, 10, 20]","[(5, 0), (0, 1), (0, 1)]","[5, 10, 20]",544.189985985,0.0,Inf
15,"[0, 15, 0]","[(5, 0), (0, 1), (0, 1)]","[5, 15, 0]",544.189985985,0.0,Inf
15,"[0, 15, 5]","[(5, 0), (0, 1), (0, 1)]","[5, 15, 5]",544.189985985,0.0,Inf
15,"[0, 15, 10]","[(5, 0), (0, 1), (0, 1)]","[5, 15, 10]",544.189985985,0.0,Inf
