time,state,action,new_state,cost,new_state_cost,total_cost
18,"[0, 0, 0]","[(10, 0), (10, 0), (10, 0)]","[10, 10, 10]",520.738333601,-100.0,420.738333601
18,"[0, 0, 0]","[(5, 0), (10, 0), (10, 0)]","[5, 10, 10]",517.2819446674999,-100.0,417.28194466749994
18,"[0, 0, 0]","[(0, 1), (10, 0), (10, 0)]","[0, 10, 10]",513.825555734,-100.0,413.825555734
18,"[0, 0, 0]","[(10, 0), (5, 0), (10, 0)]","[10, 5, 10]",517.2819446674999,-100.0,417.28194466749994
18,"[0, 0, 0]","[(5, 0), (5, 0), (10, 0)]","[5, 5, 10]",513.825555734,-100.0,413.825555734
18,"[0, 0, 0]","[(0, 1), (5, 0), (10, 0)]","[0, 5, 10]",510.3691668005,-100.0,410.3691668005
18,"[0, 0, 0]","[(10, 0), (0, 1), (10, 0)]","[10, 0, 10]",513.825555734,-100.0,413.825555734
18,"[0, 0, 0]","[(5, 0), (0, 1), (10, 0)]","[5, 0, 10]",510.3691668005,-100.0,410.3691668005
18,"[0, 0, 0]","[(0, 1), (0, 1), (10, 0)]","[0, 0, 10]",506.912777867,-100.0,406.912777867
18,"[0, 0, 0]","[(10, 0), (10, 0), (5, 0)]","[10, 10, 5]",517.2819446675,-100.0,417.28194466750006
18,"[0, 0, 0]","[(5, 0), (10, 0), (5, 0)]","[5, 10, 5]",513.825555734,-100.0,413.825555734
18,"[0, 0, 0]","[(0, 1), (10, 0), (5, 0)]","[0, 10, 5]",510.3691668005,-100.0,410.3691668005
18,"[0, 0, 0]","[(10, 0), (5, 0), (5, 0)]","[10, 5, 5]",513.825555734,-100.0,413.825555734
18,"[0, 0, 0]","[(5, 0), (5, 0), (5, 0)]","[5, 5, 5]",510.3691668005,-100.0,410.3691668005
18,"[0, 0, 0]","[(0, 1), (5, 0), (5, 0)]","[0, 5, 5]",506.91277786700005,-100.0,406.91277786700005
18,"[0, 0, 0]","[(10, 0), (0, 1), (5, 0)]","[10, 0, 5]",510.3691668005,-100.0,410.3691668005
18,"[0, 0, 0]","[(5, 0), (0, 1), (5, 0)]","[5, 0, 5]",506.91277786700005,-100.0,406.91277786700005
18,"[0, 0, 0]","[(0, 1), (0, 1), (5, 0)]","[0, 0, 5]",503.4563889335,-100.0,403.4563889335
18,"[0, 0, 0]","[(10, 0), (10, 0), (0, 1)]","[10, 10, -5]",-86.174444266,Inf,Inf
18,"[0, 0, 0]","[(5, 0), (10, 0), (0, 1)]","[5, 10, -5]",-89.6308331995,Inf,Inf
18,"[0, 0, 0]","[(0, 1), (10, 0), (0, 1)]","[0, 10, -5]",-93.087222133,Inf,Inf
18,"[0, 0, 0]","[(10, 0), (5, 0), (0, 1)]","[10, 5, -5]",-89.6308331995,Inf,Inf
18,"[0, 0, 0]","[(5, 0), (5, 0), (0, 1)]","[5, 5, -5]",-93.087222133,Inf,Inf
18,"[0, 0, 0]","[(0, 1), (5, 0), (0, 1)]","[0, 5, -5]",-96.5436110665,Inf,Inf
18,"[0, 0, 0]","[(10, 0), (0, 1), (0, 1)]","[10, 0, -5]",-93.087222133,Inf,Inf
18,"[0, 0, 0]","[(5, 0), (0, 1), (0, 1)]","[5, 0, -5]",-96.5436110665,Inf,Inf
18,"[0, 0, 0]","[(0, 1), (0, 1), (0, 1)]","[0, 0, -5]",-100.0,Inf,Inf
18,"[0, 0, 5]","[(10, 0), (10, 0), (10, 0)]","[10, 10, 15]",520.738333601,-100.0,420.738333601
18,"[0, 0, 5]","[(5, 0), (10, 0), (10, 0)]","[5, 10, 15]",517.2819446674999,-100.0,417.28194466749994
