time,state,action,new_state,cost,new_state_val,total_cost
13,[0],"[(10, 0)]",[10.0],21846.814099008243,0.0,21846.814099008243
13,[0],"[(5, 0)]",[5.0],11573.657049504121,0.0,11573.657049504121
13,[0],"[(0, 1)]",[-9.0],-7803.000000000001,Inf,Inf
13,[5],"[(10, 0)]",[15.0],21846.814099008243,0.0,21846.814099008243
13,[5],"[(5, 0)]",[10.0],11573.657049504121,0.0,11573.657049504121
13,[5],"[(0, 1)]",[-4.0],-7803.000000000001,Inf,Inf
13,[10],"[(10, 0)]",[20.0],21846.814099008243,0.0,21846.814099008243
13,[10],"[(5, 0)]",[15.0],11573.657049504121,0.0,11573.657049504121
13,[10],"[(0, 1)]",[1.0],-7803.000000000001,0.0,-7803.000000000001
13,[15],"[(10, 0)]",[25.0],21846.814099008243,Inf,Inf
13,[15],"[(5, 0)]",[20.0],11573.657049504121,0.0,11573.657049504121
13,[15],"[(0, 1)]",[6.0],-7803.000000000001,0.0,-7803.000000000001
13,[20],"[(10, 0)]",[30.0],21846.814099008243,Inf,Inf
13,[20],"[(5, 0)]",[25.0],11573.657049504121,Inf,Inf
13,[20],"[(0, 1)]",[11.0],-7803.000000000001,0.0,-7803.000000000001
