time,state,action,new_state,total_cost
16,"[0, 0, 0]","[(5, 0), (5, 0), (5, 0)]","[5, 5, 5]",39114.26321754106
16,"[0, 0, 5]","[(5, 0), (5, 0), (0, 1)]","[5, 5, 0]",25835.342145027374
16,"[0, 0, 10]","[(5, 0), (5, 0), (0, 1)]","[5, 5, 5]",25835.342145027374
16,"[0, 0, 15]","[(5, 0), (5, 0), (0, 1)]","[5, 5, 10]",25835.342145027374
16,"[0, 0, 20]","[(5, 0), (5, 0), (0, 1)]","[5, 5, 15]",25835.342145027374
16,"[0, 5, 0]","[(5, 0), (0, 1), (5, 0)]","[5, 0, 5]",25835.342145027374
16,"[0, 5, 5]","[(5, 0), (0, 1), (0, 1)]","[5, 0, 0]",12556.421072513687
16,"[0, 5, 10]","[(5, 0), (0, 1), (0, 1)]","[5, 0, 5]",12556.421072513687
16,"[0, 5, 15]","[(5, 0), (0, 1), (0, 1)]","[5, 0, 10]",12556.421072513687
16,"[0, 5, 20]","[(5, 0), (0, 1), (0, 1)]","[5, 0, 15]",12556.421072513687
16,"[0, 10, 0]","[(5, 0), (0, 1), (5, 0)]","[5, 5, 5]",25835.342145027374
16,"[0, 10, 5]","[(5, 0), (0, 1), (0, 1)]","[5, 5, 0]",12556.421072513687
16,"[0, 10, 10]","[(5, 0), (0, 1), (0, 1)]","[5, 5, 5]",12556.421072513687
16,"[0, 10, 15]","[(5, 0), (0, 1), (0, 1)]","[5, 5, 10]",12556.421072513687
16,"[0, 10, 20]","[(5, 0), (0, 1), (0, 1)]","[5, 5, 15]",12556.421072513687
16,"[0, 15, 0]","[(5, 0), (0, 1), (5, 0)]","[5, 10, 5]",25835.342145027374
16,"[0, 15, 5]","[(5, 0), (0, 1), (0, 1)]","[5, 10, 0]",12556.421072513687
16,"[0, 15, 10]","[(5, 0), (0, 1), (0, 1)]","[5, 10, 5]",12556.421072513687
16,"[0, 15, 15]","[(5, 0), (0, 1), (0, 1)]","[5, 10, 10]",12556.421072513687
