state,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13
"[0, 0, 0]",-3912.0797296802093,-2655.4698971213716,-896.6981902914968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[0, 0, 5]",-5136.07972968021,-3328.041480395114,-1733.2484919095805,-204.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[0, 0, 10]",-5653.87591364226,-4000.6130636688586,-2977.798793527664,-1836.0,-1632.0,-1632.0,-1632.0,-1632.0,-1632.0,-1632.0,-1632.0,-1632.0,0.0
"[0, 0, 15]",-6171.672097604311,-5224.613063668859,-2977.798793527664,-1836.0,-1632.0,-1632.0,-1632.0,-1632.0,-1632.0,-1632.0,-1632.0,-1632.0,0.0
"[0, 0, 20]",-6171.672097604311,-5224.613063668859,-2977.798793527664,-1836.0,-1632.0,-1632.0,-1632.0,-1632.0,-1632.0,-1632.0,-1632.0,-1632.0,0.0
"[0, 5, 0]",-4584.6513129539535,-3492.0201987394553,-1916.6981902914968,-1020.0,-1020.0,-1020.0,-1020.0,-816.0,-816.0,-816.0,-408.0,-204.0,0.0
"[0, 5, 5]",-5808.651312953953,-4164.591782013198,-2753.2484919095805,-1224.0,-1020.0,-1020.0,-1020.0,-816.0,-816.0,-816.0,-408.0,-204.0,0.0
"[0, 5, 10]",-6326.447496916002,-4837.163365286942,-3997.798793527664,-2856.0,-2652.0,-2652.0,-2652.0,-2448.0,-2448.0,-2448.0,-2040.0,-1836.0,0.0
"[0, 5, 15]",-6844.243680878053,-6061.163365286942,-3997.798793527664,-2856.0,-2652.0,-2652.0,-2652.0,-2448.0,-2448.0,-2448.0,-2040.0,-1836.0,0.0
"[0, 5, 20]",-6844.243680878053,-6061.163365286942,-3997.798793527664,-2856.0,-2652.0,-2652.0,-2652.0,-2448.0,-2448.0,-2448.0,-2040.0,-1836.0,0.0
"[0, 10, 0]",-5257.222896227697,-4328.570500357539,-2936.6981902914968,-2040.0,-2040.0,-2040.0,-1836.0,-816.0,-816.0,-816.0,-408.0,-204.0,0.0
"[0, 10, 5]",-6481.222896227697,-5001.142083631281,-3773.2484919095805,-2244.0,-2040.0,-2040.0,-1836.0,-816.0,-816.0,-816.0,-408.0,-204.0,0.0
"[0, 10, 10]",-6999.019080189746,-5673.713666905026,-5017.798793527664,-3876.0,-3672.0,-3672.0,-3468.0,-2448.0,-2448.0,-2448.0,-2040.0,-1836.0,0.0
"[0, 10, 15]",-7516.815264151797,-6897.713666905026,-5017.798793527664,-3876.0,-3672.0,-3672.0,-3468.0,-2448.0,-2448.0,-2448.0,-2040.0,-1836.0,0.0
"[0, 10, 20]",-7516.815264151797,-6897.713666905026,-5017.798793527664,-3876.0,-3672.0,-3672.0,-3468.0,-2448.0,-2448.0,-2448.0,-2040.0,-1836.0,0.0
"[0, 15, 0]",-5775.019080189748,-5001.142083631283,-3773.2484919095805,-3060.0,-3060.0,-2856.0,-1836.0,-816.0,-816.0,-816.0,-408.0,-204.0,0.0
"[0, 15, 5]",-6999.019080189748,-5673.713666905025,-4609.798793527665,-3264.0,-3060.0,-2856.0,-1836.0,-816.0,-816.0,-816.0,-408.0,-204.0,0.0
"[0, 15, 10]",-7516.815264151798,-6346.285250178769,-5854.349095145749,-4896.0,-4692.0,-4488.0,-3468.0,-2448.0,-2448.0,-2448.0,-2040.0,-1836.0,0.0
"[0, 15, 15]",-8034.611448113848,-7570.285250178769,-5854.349095145749,-4896.0,-4692.0,-4488.0,-3468.0,-2448.0,-2448.0,-2448.0,-2040.0,-1836.0,0.0
"[0, 15, 20]",-8034.611448113848,-7570.285250178769,-5854.349095145749,-4896.0,-4692.0,-4488.0,-3468.0,-2448.0,-2448.0,-2448.0,-2040.0,-1836.0,0.0
"[0, 20, 0]",-6292.815264151797,-5673.713666905026,-4609.798793527664,-4080.0,-4080.0,-2856.0,-1836.0,-816.0,-816.0,-816.0,-408.0,-204.0,0.0
"[0, 20, 5]",-7516.815264151797,-6346.285250178769,-5446.349095145749,-4284.0,-4080.0,-2856.0,-1836.0,-816.0,-816.0,-816.0,-408.0,-204.0,0.0
"[0, 20, 10]",-8034.611448113848,-7018.856833452513,-6690.899396763833,-5916.0,-5712.0,-4488.0,-3468.0,-2448.0,-2448.0,-2448.0,-2040.0,-1836.0,0.0
"[0, 20, 15]",-8552.407632075898,-8242.856833452513,-6690.899396763833,-5916.0,-5712.0,-4488.0,-3468.0,-2448.0,-2448.0,-2448.0,-2040.0,-1836.0,0.0
"[0, 20, 20]",-8552.407632075898,-8242.856833452513,-6690.899396763833,-5916.0,-5712.0,-4488.0,-3468.0,-2448.0,-2448.0,-2448.0,-2040.0,-1836.0,0.0
"[5, 0, 0]",-4524.079729680209,-3328.041480395115,-1733.2484919095796,-612.0000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[5, 0, 5]",-5748.07972968021,-4000.613063668857,-2569.7987935276647,-816.0000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[5, 0, 10]",-6265.87591364226,-4673.184646942602,-3814.349095145748,-2448.0,-1632.0,-1632.0,-1632.0,-1632.0,-1632.0,-1632.0,-1632.0,-1632.0,0.0
"[5, 0, 15]",-6783.672097604311,-5897.184646942602,-3814.349095145748,-2448.0,-1632.0,-1632.0,-1632.0,-1632.0,-1632.0,-1632.0,-1632.0,-1632.0,0.0
"[5, 0, 20]",-6783.672097604311,-5897.184646942602,-3814.349095145748,-2448.0,-1632.0,-1632.0,-1632.0,-1632.0,-1632.0,-1632.0,-1632.0,-1632.0,0.0
"[5, 5, 0]",-5196.651312953953,-4164.591782013198,-2753.2484919095796,-1632.0,-1020.0,-1020.0,-1020.0,-816.0,-816.0,-816.0,-408.0,-204.0,0.0
"[5, 5, 5]",-6420.651312953953,-4837.1633652869405,-3589.7987935276647,-1836.0,-1020.0,-1020.0,-1020.0,-816.0,-816.0,-816.0,-408.0,-204.0,0.0
"[5, 5, 10]",-6938.447496916002,-5509.734948560686,-4834.349095145748,-3468.0,-2652.0,-2652.0,-2652.0,-2448.0,-2448.0,-2448.0,-2040.0,-1836.0,0.0
"[5, 5, 15]",-7456.243680878053,-6733.734948560686,-4834.349095145748,-3468.0,-2652.0,-2652.0,-2652.0,-2448.0,-2448.0,-2448.0,-2040.0,-1836.0,0.0
"[5, 5, 20]",-7456.243680878053,-6733.734948560686,-4834.349095145748,-3468.0,-2652.0,-2652.0,-2652.0,-2448.0,-2448.0,-2448.0,-2040.0,-1836.0,0.0
"[5, 10, 0]",-5869.222896227697,-5001.142083631283,-3773.2484919095796,-2652.0,-2040.0,-2040.0,-1836.0,-816.0,-816.0,-816.0,-408.0,-204.0,0.0
"[5, 10, 5]",-7093.222896227697,-5673.713666905025,-4609.798793527665,-2856.0,-2040.0,-2040.0,-1836.0,-816.0,-816.0,-816.0,-408.0,-204.0,0.0
"[5, 10, 10]",-7611.019080189746,-6346.285250178769,-5854.349095145748,-4488.0,-3672.0,-3672.0,-3468.0,-2448.0,-2448.0,-2448.0,-2040.0,-1836.0,0.0
"[5, 10, 15]",-8128.815264151797,-7570.285250178769,-5854.349095145748,-4488.0,-3672.0,-3672.0,-3468.0,-2448.0,-2448.0,-2448.0,-2040.0,-1836.0,0.0
"[5, 10, 20]",-8128.815264151797,-7570.285250178769,-5854.349095145748,-4488.0,-3672.0,-3672.0,-3468.0,-2448.0,-2448.0,-2448.0,-2040.0,-1836.0,0.0
"[5, 15, 0]",-6387.019080189748,-5673.713666905026,-4609.798793527663,-3672.0,-3060.0,-2856.0,-1836.0,-816.0,-816.0,-816.0,-408.0,-204.0,0.0
"[5, 15, 5]",-7611.019080189748,-6346.285250178769,-5446.349095145748,-3876.0,-3060.0,-2856.0,-1836.0,-816.0,-816.0,-816.0,-408.0,-204.0,0.0
"[5, 15, 10]",-8128.815264151798,-7018.8568334525135,-6690.899396763833,-5508.0,-4692.0,-4488.0,-3468.0,-2448.0,-2448.0,-2448.0,-2040.0,-1836.0,0.0
"[5, 15, 15]",-8646.611448113848,-8242.856833452513,-6690.899396763833,-5508.0,-4692.0,-4488.0,-3468.0,-2448.0,-2448.0,-2448.0,-2040.0,-1836.0,0.0
"[5, 15, 20]",-8646.611448113848,-8242.856833452513,-6690.899396763833,-5508.0,-4692.0,-4488.0,-3468.0,-2448.0,-2448.0,-2448.0,-2040.0,-1836.0,0.0
"[5, 20, 0]",-6904.815264151797,-6346.285250178769,-5446.349095145748,-4692.0,-4080.0,-2856.0,-1836.0,-816.0,-816.0,-816.0,-408.0,-204.0,0.0
"[5, 20, 5]",-8128.815264151797,-7018.8568334525135,-6282.899396763833,-4896.0,-4080.0,-2856.0,-1836.0,-816.0,-816.0,-816.0,-408.0,-204.0,0.0
"[5, 20, 10]",-8646.611448113848,-7691.428416726257,-7527.449698381916,-6528.0,-5712.0,-4488.0,-3468.0,-2448.0,-2448.0,-2448.0,-2040.0,-1836.0,0.0
"[5, 20, 15]",-9164.407632075898,-8915.428416726256,-7527.449698381916,-6528.0,-5712.0,-4488.0,-3468.0,-2448.0,-2448.0,-2448.0,-2040.0,-1836.0,0.0
"[5, 20, 20]",-9164.407632075898,-8915.428416726256,-7527.449698381916,-6528.0,-5712.0,-4488.0,-3468.0,-2448.0,-2448.0,-2448.0,-2040.0,-1836.0,0.0
"[10, 0, 0]",-5136.07972968021,-4000.6130636688586,-2569.798793527664,-2040.0,-2040.0,-2040.0,-2040.0,-2040.0,0.0,0.0,0.0,0.0,0.0
"[10, 0, 5]",-6360.07972968021,-4673.184646942602,-3406.349095145749,-2244.0,-2040.0,-2040.0,-2040.0,-2040.0,0.0,0.0,0.0,0.0,0.0
"[10, 0, 10]",-6877.87591364226,-5345.756230216345,-4650.899396763833,-3876.0,-3672.0,-3672.0,-3672.0,-3672.0,-1632.0,-1632.0,-1632.0,-1632.0,0.0
"[10, 0, 15]",-7395.672097604311,-6569.756230216345,-4650.899396763833,-3876.0,-3672.0,-3672.0,-3672.0,-3672.0,-1632.0,-1632.0,-1632.0,-1632.0,0.0
"[10, 0, 20]",-7395.672097604311,-6569.756230216345,-4650.899396763833,-3876.0,-3672.0,-3672.0,-3672.0,-3672.0,-1632.0,-1632.0,-1632.0,-1632.0,0.0
"[10, 5, 0]",-5808.651312953953,-4837.163365286942,-3589.798793527664,-3060.0,-3060.0,-3060.0,-3060.0,-2856.0,-816.0,-816.0,-408.0,-204.0,0.0
"[10, 5, 5]",-7032.651312953953,-5509.734948560686,-4426.349095145749,-3264.0,-3060.0,-3060.0,-3060.0,-2856.0,-816.0,-816.0,-408.0,-204.0,0.0
"[10, 5, 10]",-7550.447496916002,-6182.306531834429,-5670.899396763833,-4896.0,-4692.0,-4692.0,-4692.0,-4488.0,-2448.0,-2448.0,-2040.0,-1836.0,0.0
"[10, 5, 15]",-8068.243680878053,-7406.306531834429,-5670.899396763833,-4896.0,-4692.0,-4692.0,-4692.0,-4488.0,-2448.0,-2448.0,-2040.0,-1836.0,0.0
"[10, 5, 20]",-8068.243680878053,-7406.306531834429,-5670.899396763833,-4896.0,-4692.0,-4692.0,-4692.0,-4488.0,-2448.0,-2448.0,-2040.0,-1836.0,0.0
"[10, 10, 0]",-6481.222896227697,-5673.713666905026,-4609.798793527664,-4080.0,-4080.0,-4080.0,-3876.0,-2856.0,-816.0,-816.0,-408.0,-204.0,0.0
"[10, 10, 5]",-7705.222896227697,-6346.285250178769,-5446.349095145749,-4284.0,-4080.0,-4080.0,-3876.0,-2856.0,-816.0,-816.0,-408.0,-204.0,0.0
"[10, 10, 10]",-8223.019080189746,-7018.856833452513,-6690.899396763833,-5916.0,-5712.0,-5712.0,-5508.0,-4488.0,-2448.0,-2448.0,-2040.0,-1836.0,0.0
"[10, 10, 15]",-8740.815264151797,-8242.856833452513,-6690.899396763833,-5916.0,-5712.0,-5712.0,-5508.0,-4488.0,-2448.0,-2448.0,-2040.0,-1836.0,0.0
"[10, 10, 20]",-8740.815264151797,-8242.856833452513,-6690.899396763833,-5916.0,-5712.0,-5712.0,-5508.0,-4488.0,-2448.0,-2448.0,-2040.0,-1836.0,0.0
"[10, 15, 0]",-6999.019080189748,-6346.285250178769,-5446.349095145748,-5100.0,-5100.0,-4896.0,-3876.0,-2856.0,-816.0,-816.0,-408.0,-204.0,0.0
"[10, 15, 5]",-8223.019080189748,-7018.8568334525135,-6282.899396763833,-5304.0,-5100.0,-4896.0,-3876.0,-2856.0,-816.0,-816.0,-408.0,-204.0,0.0
"[10, 15, 10]",-8740.815264151799,-7691.428416726257,-7527.449698381916,-6936.0,-6732.0,-6528.0,-5508.0,-4488.0,-2448.0,-2448.0,-2040.0,-1836.0,0.0
"[10, 15, 15]",-9258.611448113848,-8915.428416726256,-7527.449698381916,-6936.0,-6732.0,-6528.0,-5508.0,-4488.0,-2448.0,-2448.0,-2040.0,-1836.0,0.0
"[10, 15, 20]",-9258.611448113848,-8915.428416726256,-7527.449698381916,-6936.0,-6732.0,-6528.0,-5508.0,-4488.0,-2448.0,-2448.0,-2040.0,-1836.0,0.0
"[10, 20, 0]",-7516.815264151797,-7018.856833452513,-6282.899396763833,-6120.0,-6120.0,-4896.0,-3876.0,-2856.0,-816.0,-816.0,-408.0,-204.0,0.0
"[10, 20, 5]",-8740.815264151797,-7691.428416726257,-7119.449698381916,-6324.0,-6120.0,-4896.0,-3876.0,-2856.0,-816.0,-816.0,-408.0,-204.0,0.0
"[10, 20, 10]",-9258.611448113848,-8364.0,-8364.0,-7956.0,-7752.0,-6528.0,-5508.0,-4488.0,-2448.0,-2448.0,-2040.0,-1836.0,0.0
"[10, 20, 15]",-9776.407632075898,-9588.0,-8364.0,-7956.0,-7752.0,-6528.0,-5508.0,-4488.0,-2448.0,-2448.0,-2040.0,-1836.0,0.0
"[10, 20, 20]",-9776.407632075898,-9588.0,-8364.0,-7956.0,-7752.0,-6528.0,-5508.0,-4488.0,-2448.0,-2448.0,-2040.0,-1836.0,0.0
"[15, 0, 0]",-5653.8759136422605,-4612.613063668859,-3181.798793527664,-2652.0,-2040.0,-2040.0,-2040.0,-2040.0,0.0,0.0,0.0,0.0,0.0
"[15, 0, 5]",-6877.8759136422605,-5285.184646942602,-4018.349095145749,-2856.0,-2040.0,-2040.0,-2040.0,-2040.0,0.0,0.0,0.0,0.0,0.0
"[15, 0, 10]",-7395.672097604311,-5957.756230216345,-5262.899396763833,-4488.0,-3672.0,-3672.0,-3672.0,-3672.0,-1632.0,-1632.0,-1632.0,-1632.0,0.0
"[15, 0, 15]",-7913.468281566362,-7181.756230216345,-5262.899396763833,-4488.0,-3672.0,-3672.0,-3672.0,-3672.0,-1632.0,-1632.0,-1632.0,-1632.0,0.0
"[15, 0, 20]",-7913.468281566362,-7181.756230216345,-5262.899396763833,-4488.0,-3672.0,-3672.0,-3672.0,-3672.0,-1632.0,-1632.0,-1632.0,-1632.0,0.0
"[15, 5, 0]",-6326.447496916003,-5449.163365286942,-4201.798793527664,-3672.0,-3060.0,-3060.0,-3060.0,-2856.0,-816.0,-816.0,-408.0,-204.0,0.0
"[15, 5, 5]",-7550.447496916003,-6121.734948560686,-5038.349095145749,-3876.0,-3060.0,-3060.0,-3060.0,-2856.0,-816.0,-816.0,-408.0,-204.0,0.0
"[15, 5, 10]",-8068.243680878053,-6794.306531834429,-6282.899396763833,-5508.0,-4692.0,-4692.0,-4692.0,-4488.0,-2448.0,-2448.0,-2040.0,-1836.0,0.0
"[15, 5, 15]",-8586.039864840104,-8018.306531834429,-6282.899396763833,-5508.0,-4692.0,-4692.0,-4692.0,-4488.0,-2448.0,-2448.0,-2040.0,-1836.0,0.0
"[15, 5, 20]",-8586.039864840104,-8018.306531834429,-6282.899396763833,-5508.0,-4692.0,-4692.0,-4692.0,-4488.0,-2448.0,-2448.0,-2040.0,-1836.0,0.0
"[15, 10, 0]",-6999.019080189747,-6285.713666905026,-5221.798793527664,-4692.0,-4080.0,-4080.0,-3876.0,-2856.0,-816.0,-816.0,-408.0,-204.0,0.0
"[15, 10, 5]",-8223.019080189748,-6958.285250178769,-6058.349095145749,-4896.0,-4080.0,-4080.0,-3876.0,-2856.0,-816.0,-816.0,-408.0,-204.0,0.0
"[15, 10, 10]",-8740.815264151797,-7630.856833452513,-7302.899396763833,-6528.0,-5712.0,-5712.0,-5508.0,-4488.0,-2448.0,-2448.0,-2040.0,-1836.0,0.0
"[15, 10, 15]",-9258.611448113848,-8854.856833452513,-7302.899396763833,-6528.0,-5712.0,-5712.0,-5508.0,-4488.0,-2448.0,-2448.0,-2040.0,-1836.0,0.0
"[15, 10, 20]",-9258.611448113848,-8854.856833452513,-7302.899396763833,-6528.0,-5712.0,-5712.0,-5508.0,-4488.0,-2448.0,-2448.0,-2040.0,-1836.0,0.0
"[15, 15, 0]",-7516.815264151797,-6958.285250178769,-6058.349095145749,-5712.0,-5100.0,-4896.0,-3876.0,-2856.0,-816.0,-816.0,-408.0,-204.0,0.0
