time,state,action,new_state,cost,new_state_val_opt,total_cost_opt
8,"[0, 0, 0]","[(0, 1), (0, 0), (0, 1)]","[0, 0, 0]",2890.0,-1068.691588467709,1821.308411532291
8,"[0, 0, 5]","[(0, 1), (0, 0), (0, 1)]","[0, 0, 5]",2890.0,-1069.6297150562166,1820.3702849437834
8,"[0, 0, 10]","[(0, 1), (0, 0), (0, 1)]","[0, 0, 10]",2890.0,-1070.819436495655,1819.180563504345
8,"[0, 0, 15]","[(0, 1), (0, 0), (0, 1)]","[0, 0, 15]",2890.0,-1072.0091579350933,1817.9908420649067
8,"[0, 0, 20]","[(0, 1), (0, 0), (0, 1)]","[0, 0, 20]",2890.0,-1073.0513174829032,1816.9486825170968
8,"[0, 5, 0]","[(0, 1), (0, 0), (0, 1)]","[0, 5, 0]",2890.0,-1069.8813099071474,1820.1186900928526
8,"[0, 5, 5]","[(0, 1), (0, 0), (0, 1)]","[0, 5, 5]",2890.0,-1070.819436495655,1819.180563504345
8,"[0, 5, 10]","[(0, 1), (0, 0), (0, 1)]","[0, 5, 10]",2890.0,-1072.0091579350933,1817.9908420649067
8,"[0, 5, 15]","[(0, 1), (0, 0), (0, 1)]","[0, 5, 15]",2890.0,-1073.1988793745315,1816.8011206254685
8,"[0, 5, 20]","[(0, 1), (0, 0), (0, 1)]","[0, 5, 20]",2890.0,-1074.2410389223414,1815.7589610776586
8,"[0, 10, 0]","[(0, 1), (0, 1), (0, 1)]","[0, 0, 0]",-578.0,-1068.691588467709,-1646.691588467709
8,"[0, 10, 5]","[(0, 1), (0, 1), (0, 1)]","[0, 0, 5]",-578.0,-1069.6297150562166,-1647.6297150562166
8,"[0, 10, 10]","[(0, 1), (0, 1), (0, 1)]","[0, 0, 10]",-578.0,-1070.819436495655,-1648.819436495655
8,"[0, 10, 15]","[(0, 1), (0, 1), (0, 1)]","[0, 0, 15]",-578.0,-1072.0091579350933,-1650.0091579350933
8,"[0, 10, 20]","[(0, 1), (0, 1), (0, 1)]","[0, 0, 20]",-578.0,-1073.0513174829032,-1651.0513174829032
8,"[0, 15, 0]","[(0, 1), (0, 1), (0, 1)]","[0, 5, 0]",-578.0,-1069.8813099071474,-1647.8813099071474
8,"[0, 15, 5]","[(0, 1), (0, 1), (0, 1)]","[0, 5, 5]",-578.0,-1070.819436495655,-1648.819436495655
8,"[0, 15, 10]","[(0, 1), (0, 1), (0, 1)]","[0, 5, 10]",-578.0,-1072.0091579350933,-1650.0091579350933
8,"[0, 15, 15]","[(0, 1), (0, 1), (0, 1)]","[0, 5, 15]",-578.0,-1073.1988793745315,-1651.1988793745315
8,"[0, 15, 20]","[(0, 1), (0, 1), (0, 1)]","[0, 5, 20]",-578.0,-1074.2410389223414,-1652.2410389223414
8,"[0, 20, 0]","[(0, 1), (0, 1), (0, 1)]","[0, 10, 0]",-578.0,-1071.0710313465856,-1649.0710313465856
8,"[0, 20, 5]","[(0, 1), (0, 1), (0, 1)]","[0, 10, 5]",-578.0,-1072.0091579350933,-1650.0091579350933
8,"[0, 20, 10]","[(0, 1), (0, 1), (0, 1)]","[0, 10, 10]",-578.0,-1073.1988793745315,-1651.1988793745315
8,"[0, 20, 15]","[(0, 1), (0, 1), (0, 1)]","[0, 10, 15]",-578.0,-1074.3886008139698,-1652.3886008139698
8,"[0, 20, 20]","[(0, 1), (0, 1), (0, 1)]","[0, 10, 20]",-578.0,-2808.2410389223414,-3386.2410389223414
8,"[5, 0, 0]","[(0, 1), (0, 0), (0, 1)]","[5, 0, 0]",2890.0,-1171.42315896275,1718.57684103725
8,"[5, 0, 5]","[(0, 1), (0, 0), (0, 1)]","[5, 0, 5]",2890.0,-1172.3612855512577,1717.6387144487423
8,"[5, 0, 10]","[(0, 1), (0, 0), (0, 1)]","[5, 0, 10]",2890.0,-1173.5510069906961,1716.4489930093039
8,"[5, 0, 15]","[(0, 1), (0, 0), (0, 1)]","[5, 0, 15]",2890.0,-1174.7407284301344,1715.2592715698656
8,"[5, 0, 20]","[(0, 1), (0, 0), (0, 1)]","[5, 0, 20]",2890.0,-1175.635326086316,1714.364673913684
8,"[5, 5, 0]","[(0, 1), (0, 0), (0, 1)]","[5, 5, 0]",2890.0,-1172.6128804021885,1717.3871195978115
8,"[5, 5, 5]","[(0, 1), (0, 0), (0, 1)]","[5, 5, 5]",2890.0,-1173.5510069906961,1716.4489930093039
