time,state,new_state,total_cost_opt
8,"[0, 0, 0]","[0, 0, 0]",1821.308411532291
8,"[0, 0, 5]","[0, 0, 5]",1820.3702849437834
8,"[0, 0, 10]","[0, 0, 10]",1819.180563504345
8,"[0, 0, 15]","[0, 0, 15]",1817.9908420649067
8,"[0, 0, 20]","[0, 0, 20]",1816.9486825170968
8,"[0, 5, 0]","[0, 5, 0]",1820.1186900928526
8,"[0, 5, 5]","[0, 5, 5]",1819.180563504345
8,"[0, 5, 10]","[0, 5, 10]",1817.9908420649067
8,"[0, 5, 15]","[0, 5, 15]",1816.8011206254685
8,"[0, 5, 20]","[0, 5, 20]",1815.7589610776586
8,"[0, 10, 0]","[0, 0, 0]",-1646.691588467709
8,"[0, 10, 5]","[0, 0, 5]",-1647.6297150562166
8,"[0, 10, 10]","[0, 0, 10]",-1648.819436495655
8,"[0, 10, 15]","[0, 0, 15]",-1650.0091579350933
8,"[0, 10, 20]","[0, 0, 20]",-1651.0513174829032
8,"[0, 15, 0]","[0, 5, 0]",-1647.8813099071474
8,"[0, 15, 5]","[0, 5, 5]",-1648.819436495655
8,"[0, 15, 10]","[0, 5, 10]",-1650.0091579350933
8,"[0, 15, 15]","[0, 5, 15]",-1651.1988793745315
8,"[0, 15, 20]","[0, 5, 20]",-1652.2410389223414
8,"[0, 20, 0]","[0, 10, 0]",-1649.0710313465856
8,"[0, 20, 5]","[0, 10, 5]",-1650.0091579350933
8,"[0, 20, 10]","[0, 10, 10]",-1651.1988793745315
8,"[0, 20, 15]","[0, 10, 15]",-1652.3886008139698
8,"[0, 20, 20]","[0, 10, 20]",-3386.2410389223414
8,"[5, 0, 0]","[5, 0, 0]",1718.57684103725
8,"[5, 0, 5]","[5, 0, 5]",1717.6387144487423
8,"[5, 0, 10]","[5, 0, 10]",1716.4489930093039
8,"[5, 0, 15]","[5, 0, 15]",1715.2592715698656
8,"[5, 0, 20]","[5, 0, 20]",1714.364673913684
8,"[5, 5, 0]","[5, 5, 0]",1717.3871195978115
8,"[5, 5, 5]","[5, 5, 5]",1716.4489930093039
8,"[5, 5, 10]","[5, 5, 10]",1715.2592715698656
8,"[5, 5, 15]","[5, 5, 15]",1714.0695501304274
8,"[5, 5, 20]","[5, 5, 20]",1713.1749524742459
8,"[5, 10, 0]","[5, 0, 0]",-1749.42315896275
8,"[5, 10, 5]","[5, 0, 5]",-1750.3612855512577
8,"[5, 10, 10]","[5, 0, 10]",-1751.5510069906961
8,"[5, 10, 15]","[5, 0, 15]",-1752.7407284301344
8,"[5, 10, 20]","[5, 0, 20]",-1753.635326086316
8,"[5, 15, 0]","[5, 5, 0]",-1750.6128804021885
8,"[5, 15, 5]","[5, 5, 5]",-1751.5510069906961
8,"[5, 15, 10]","[5, 5, 10]",-1752.7407284301344
8,"[5, 15, 15]","[5, 5, 15]",-1753.9304498695726
8,"[5, 15, 20]","[5, 5, 20]",-1754.8250475257541
8,"[5, 20, 0]","[5, 10, 0]",-1751.8026018416267
8,"[5, 20, 5]","[5, 10, 5]",-1752.7407284301344
8,"[5, 20, 10]","[5, 10, 10]",-1753.9304498695726
8,"[5, 20, 15]","[5, 10, 15]",-1755.1201713090109
8,"[5, 20, 20]","[5, 10, 20]",-3488.825047525754
8,"[10, 0, 0]","[10, 0, 0]",1615.9928324338373
8,"[10, 0, 5]","[10, 0, 5]",1615.0547058453296
8,"[10, 0, 10]","[10, 0, 10]",1613.8649844058912
8,"[10, 0, 15]","[10, 0, 15]",1612.675262966453
8,"[10, 0, 20]","[10, 0, 20]",1611.633103418643
8,"[10, 5, 0]","[10, 5, 0]",1614.8031109943988
8,"[10, 5, 5]","[10, 5, 5]",1613.8649844058912
8,"[10, 5, 10]","[10, 5, 10]",1612.675262966453
8,"[10, 5, 15]","[10, 5, 15]",1611.4855415270147
8,"[10, 5, 20]","[10, 5, 20]",1610.4433819792048
8,"[10, 10, 0]","[10, 0, 0]",-1852.0071675661627
