state_t8,action_t8,new_state_t8,cost_t8,new_state_val_opt_t8,total_cost_opt_t8,state_t9,action_t9,new_state_t9,cost_t9,new_state_val_cost_t9,total_cost_t9,state_t10,action_t10,new_state_t10,cost_t10,new_state_val_cost_t10,total_cost_t10,state_t11,action_t11,new_state_t11,cost_t11,new_state_val_cost_t11,total_cost_t11,state_t12,action_t12,new_state_t12,cost_t12,new_state_val_cost_t12,total_cost_t12,state_t13,action_t13,new_state_t13,cost_t13,new_state_val_cost_t13,total_cost_t13,state_t14,action_t14,new_state_t14,cost_t14,new_state_val_cost_t14,total_cost_t14,state_t15,action_t15,new_state_t15,cost_t15,new_state_val_cost_t15,total_cost_t15,state_t16,action_t16,new_state_t16,cost_t16,new_state_val_cost_t16,total_cost_t16,state_t17,action_t17,new_state_t17,cost_t17,new_state_val_cost_t17,total_cost_t17,state_t18,action_t18,new_state_t18,cost_t18,new_state_val_cost_t18,total_cost_t18,state_t19,action_t19,new_state_t19,cost_t19,new_state_val_cost_t19,total_cost_t19
"[0, 0, 0]","[(0, 1), (0, 0), (0, 1)]","[0, 0, 0]",2890,-1068.691588,1821.308412,"[0, 0, 0]","[(0, 1), (0, 1), (5, 0)]","[0, 0, 5]",0.938126589,-1069.629715,-1068.691588,"[0, 0, 5]","[(0, 1), (10, 0), (10, 0)]","[0, 10, 15]",4.758885758,-1074.388601,-1069.629715,"[10, 10, 10]","[(10, 0), (0, 1), (0, 1)]","[20, 5, 5]",-557.930542,919.7228475,361.7923055,"[0, 5, 10]","[(10, 0), (0, 1), (0, 1)]","[10, 0, 0]",-661.8319828,165.443382,-496.3886008,"[5, 0, 5]","[(10, 0), (0, 1), (0, 1)]","[15, 0, 5]",205.463141,-1671.288189,-1465.825048,"[10, 10, 10]","[(0, 1), (10, 0), (0, 1)]","[0, 20, 5]",-611.5229044,876.988964,265.4660596,"[5, 0, 0]","[(0, 1), (0, 1), (0, 1)]","[0, 0, 0]",-289,-515.2881885,-804.2881885,"[0, 0, 0]","[(0, 1), (0, 1), (0, 1)]","[0, 0, 0]",0,-515.2881885,-515.2881885,"[0, 0, 0]","[(0, 1), (0, 1), (5, 0)]","[0, 0, 5]",52.72284747,-568.011036,-515.2881885,"[0, 0, 5]","[(5, 0), (0, 1), (0, 1)]","[5, 0, 0]",-279.011036,-289,-568.011036,"[5, 0, 0]","[(0, 1), (0, 0), (0, 0)]","[0, 0, 0]",-289,0,-289
"[0, 0, 5]","[(0, 1), (0, 0), (0, 1)]","[0, 0, 5]",2890,-1069.629715,1820.370285,"[0, 0, 5]","[(0, 1), (0, 1), (0, 1)]","[0, 0, 5]",0,-1069.629715,-1069.629715,"[0, 0, 5]","[(0, 1), (10, 0), (10, 0)]","[0, 10, 15]",4.758885758,-1074.388601,-1069.629715,"[0, 10, 15]","[(0, 1), (0, 1), (0, 1)]","[0, 5, 10]",-578,-496.3886008,-1074.388601,"[10, 10, 0]","[(0, 1), (0, 1), (5, 0)]","[10, 5, 5]",2703.584009,-1568.556618,1135.027391,"[5, 0, 5]","[(10, 0), (0, 1), (0, 1)]","[15, 0, 5]",205.463141,-1671.288189,-1465.825048,"[10, 0, 10]","[(0, 1), (10, 0), (0, 1)]","[0, 10, 5]",-611.5229044,876.988964,265.4660596,"[5, 0, 0]","[(0, 1), (0, 1), (0, 1)]","[0, 0, 0]",-289,-515.2881885,-804.2881885,"[0, 0, 5]","[(0, 1), (0, 1), (0, 1)]","[0, 0, 5]",0,-568.011036,-568.011036,"[0, 0, 5]","[(0, 1), (0, 1), (0, 1)]","[0, 0, 5]",0,-568.011036,-568.011036,"[0, 0, 5]","[(5, 0), (0, 1), (0, 1)]","[5, 0, 0]",-279.011036,-289,-568.011036,"[5, 0, 0]","[(0, 1), (0, 0), (0, 0)]","[0, 0, 0]",-289,0,-289
"[0, 0, 10]","[(0, 1), (0, 0), (0, 1)]","[0, 0, 10]",2890,-1070.819436,1819.180564,"[0, 0, 10]","[(0, 1), (0, 1), (0, 1)]","[0, 0, 10]",0,-1070.819436,-1070.819436,"[0, 0, 10]","[(0, 1), (10, 0), (5, 0)]","[0, 10, 15]",3.569164318,-1074.388601,-1070.819436,"[0, 10, 15]","[(0, 1), (0, 1), (0, 1)]","[0, 5, 10]",-578,-496.3886008,-1074.388601,"[10, 10, 5]","[(0, 1), (0, 1), (0, 0)]","[10, 5, 5]",2601,-1568.556618,1032.443382,"[10, 0, 0]","[(5, 0), (0, 0), (0, 0)]","[15, 0, 0]",102.7315705,62.71181148,165.443382,"[10, 0, 15]","[(0, 1), (10, 0), (0, 1)]","[0, 10, 10]",-611.5229044,876.988964,265.4660596,"[5, 0, 5]","[(0, 1), (0, 1), (0, 1)]","[0, 0, 5]",-289,-568.011036,-857.011036,"[0, 0, 10]","[(0, 1), (0, 1), (0, 1)]","[0, 0, 10]",0,-568.011036,-568.011036,"[0, 0, 10]","[(0, 1), (0, 1), (0, 1)]","[0, 0, 10]",0,-568.011036,-568.011036,"[0, 0, 10]","[(5, 0), (0, 1), (0, 1)]","[5, 0, 5]",-279.011036,-289,-568.011036,"[5, 0, 5]","[(0, 1), (0, 0), (0, 0)]","[0, 0, 5]",-289,0,-289
"[0, 0, 15]","[(0, 1), (0, 0), (0, 1)]","[0, 0, 15]",2890,-1072.009158,1817.990842,"[0, 0, 15]","[(0, 1), (0, 1), (0, 1)]","[0, 0, 15]",0,-1072.009158,-1072.009158,"[0, 0, 15]","[(0, 1), (10, 0), (0, 1)]","[0, 10, 15]",2.379442879,-1074.388601,-1072.009158,"[0, 10, 15]","[(0, 1), (0, 1), (0, 1)]","[0, 5, 10]",-578,-496.3886008,-1074.388601,"[0, 5, 10]","[(10, 0), (0, 1), (0, 1)]","[10, 0, 0]",-661.8319828,165.443382,-496.3886008,"[5, 0, 5]","[(10, 0), (0, 1), (0, 1)]","[15, 0, 5]",205.463141,-1671.288189,-1465.825048,"[10, 0, 15]","[(0, 1), (10, 0), (0, 1)]","[0, 10, 10]",-611.5229044,876.988964,265.4660596,"[5, 0, 10]","[(0, 1), (0, 1), (0, 1)]","[0, 0, 10]",-289,-568.011036,-857.011036,"[0, 0, 15]","[(0, 1), (0, 1), (0, 1)]","[0, 0, 15]",0,-568.011036,-568.011036,"[0, 0, 15]","[(0, 1), (0, 1), (0, 1)]","[0, 0, 15]",0,-568.011036,-568.011036,"[0, 0, 15]","[(5, 0), (0, 1), (0, 1)]","[5, 0, 10]",-279.011036,-289,-568.011036,"[5, 0, 10]","[(0, 1), (0, 0), (0, 0)]","[0, 0, 10]",-289,0,-289
"[0, 0, 20]","[(0, 1), (0, 0), (0, 1)]","[0, 0, 20]",2890,-1073.051317,1816.948683,"[0, 0, 20]","[(0, 1), (0, 1), (0, 1)]","[0, 0, 20]",0,-1073.051317,-1073.051317,"[0, 0, 20]","[(0, 1), (5, 0), (0, 1)]","[0, 5, 20]",1.189721439,-1074.241039,-1073.051317,"[0, 5, 20]","[(0, 1), (0, 1), (0, 1)]","[0, 0, 15]",-578,-496.2410389,-1074.241039,"[0, 0, 15]","[(5, 0), (0, 0), (0, 1)]","[5, 0, 5]",969.5840086,-1465.825048,-496.2410389,"[5, 0, 10]","[(10, 0), (0, 1), (0, 1)]","[15, 0, 10]",205.463141,-1724.011036,-1518.547895,"[10, 10, 20]","[(0, 1), (10, 0), (0, 1)]","[0, 20, 15]",-611.5229044,876.988964,265.4660596,"[5, 0, 15]","[(0, 1), (0, 1), (0, 1)]","[0, 0, 15]",-289,-568.011036,-857.011036,"[0, 0, 20]","[(0, 1), (0, 1), (0, 1)]","[0, 0, 20]",0,-568.011036,-568.011036,"[0, 0, 20]","[(0, 1), (0, 1), (0, 1)]","[0, 0, 20]",0,-568.011036,-568.011036,"[0, 0, 20]","[(5, 0), (0, 1), (0, 1)]","[5, 0, 15]",-279.011036,-289,-568.011036,"[5, 0, 15]","[(0, 1), (0, 0), (0, 0)]","[0, 0, 15]",-289,0,-289
"[0, 5, 0]","[(0, 1), (0, 0), (0, 1)]","[0, 5, 0]",2890,-1069.88131,1820.11869,"[0, 5, 0]","[(0, 1), (0, 1), (5, 0)]","[0, 5, 5]",0.938126589,-1070.819436,-1069.88131,"[0, 5, 5]","[(0, 1), (5, 0), (10, 0)]","[0, 10, 15]",3.569164318,-1074.388601,-1070.819436,"[10, 15, 10]","[(10, 0), (0, 1), (0, 1)]","[20, 10, 5]",-557.930542,919.7228475,361.7923055,"[10, 0, 10]","[(5, 0), (0, 0), (0, 1)]","[15, 0, 0]",969.5840086,62.71181148,1032.29582,"[5, 0, 5]","[(10, 0), (0, 1), (0, 1)]","[15, 0, 5]",205.463141,-1671.288189,-1465.825048,"[10, 15, 10]","[(0, 1), (5, 0), (0, 1)]","[0, 20, 5]",-739.2614522,876.988964,137.7275118,"[5, 5, 0]","[(0, 1), (0, 1), (0, 1)]","[0, 5, 0]",-289,-515.2881885,-804.2881885,"[0, 5, 0]","[(0, 1), (0, 1), (0, 1)]","[0, 5, 0]",0,-515.2881885,-515.2881885,"[0, 5, 0]","[(0, 1), (0, 1), (5, 0)]","[0, 5, 5]",52.72284747,-568.011036,-515.2881885,"[0, 5, 5]","[(5, 0), (0, 1), (0, 1)]","[5, 5, 0]",-279.011036,-289,-568.011036,"[5, 5, 0]","[(0, 1), (0, 0), (0, 0)]","[0, 5, 0]",-289,0,-289
"[0, 5, 5]","[(0, 1), (0, 0), (0, 1)]","[0, 5, 5]",2890,-1070.819436,1819.180564,"[0, 5, 5]","[(0, 1), (0, 1), (0, 1)]","[0, 5, 5]",0,-1070.819436,-1070.819436,"[0, 5, 5]","[(0, 1), (5, 0), (10, 0)]","[0, 10, 15]",3.569164318,-1074.388601,-1070.819436,"[0, 10, 15]","[(0, 1), (0, 1), (0, 1)]","[0, 5, 10]",-578,-496.3886008,-1074.388601,"[0, 0, 15]","[(5, 0), (0, 0), (0, 1)]","[5, 0, 5]",969.5840086,-1465.825048,-496.2410389,"[5, 0, 5]","[(10, 0), (0, 1), (0, 1)]","[15, 0, 5]",205.463141,-1671.288189,-1465.825048,"[10, 5, 10]","[(0, 1), (10, 0), (0, 1)]","[0, 15, 5]",-611.5229044,876.988964,265.4660596,"[5, 5, 0]","[(0, 1), (0, 1), (0, 1)]","[0, 5, 0]",-289,-515.2881885,-804.2881885,"[0, 5, 5]","[(0, 1), (0, 1), (0, 1)]","[0, 5, 5]",0,-568.011036,-568.011036,"[0, 5, 5]","[(0, 1), (0, 1), (0, 1)]","[0, 5, 5]",0,-568.011036,-568.011036,"[0, 5, 5]","[(5, 0), (0, 1), (0, 1)]","[5, 5, 0]",-279.011036,-289,-568.011036,"[5, 5, 0]","[(0, 1), (0, 0), (0, 0)]","[0, 5, 0]",-289,0,-289
"[0, 5, 10]","[(0, 1), (0, 0), (0, 1)]","[0, 5, 10]",2890,-1072.009158,1817.990842,"[0, 5, 10]","[(0, 1), (0, 1), (0, 1)]","[0, 5, 10]",0,-1072.009158,-1072.009158,"[0, 5, 10]","[(0, 1), (5, 0), (5, 0)]","[0, 10, 15]",2.379442879,-1074.388601,-1072.009158,"[0, 10, 15]","[(0, 1), (0, 1), (0, 1)]","[0, 5, 10]",-578,-496.3886008,-1074.388601,"[0, 0, 15]","[(5, 0), (0, 0), (0, 1)]","[5, 0, 5]",969.5840086,-1465.825048,-496.2410389,"[10, 0, 0]","[(5, 0), (0, 0), (0, 0)]","[15, 0, 0]",102.7315705,62.71181148,165.443382,"[10, 5, 15]","[(0, 1), (10, 0), (0, 1)]","[0, 15, 10]",-611.5229044,876.988964,265.4660596,"[5, 5, 5]","[(0, 1), (0, 1), (0, 1)]","[0, 5, 5]",-289,-568.011036,-857.011036,"[0, 5, 10]","[(0, 1), (0, 1), (0, 1)]","[0, 5, 10]",0,-568.011036,-568.011036,"[0, 5, 10]","[(0, 1), (0, 1), (0, 1)]","[0, 5, 10]",0,-568.011036,-568.011036,"[0, 5, 10]","[(5, 0), (0, 1), (0, 1)]","[5, 5, 5]",-279.011036,-289,-568.011036,"[5, 5, 5]","[(0, 1), (0, 0), (0, 0)]","[0, 5, 5]",-289,0,-289
"[0, 5, 15]","[(0, 1), (0, 0), (0, 1)]","[0, 5, 15]",2890,-1073.198879,1816.801121,"[0, 5, 15]","[(0, 1), (0, 1), (0, 1)]","[0, 5, 15]",0,-1073.198879,-1073.198879,"[0, 5, 15]","[(0, 1), (5, 0), (0, 1)]","[0, 10, 15]",1.189721439,-1074.388601,-1073.198879,"[0, 10, 15]","[(0, 1), (0, 1), (0, 1)]","[0, 5, 10]",-578,-496.3886008,-1074.388601,"[10, 0, 10]","[(5, 0), (0, 0), (0, 1)]","[15, 0, 0]",969.5840086,62.71181148,1032.29582,"[5, 0, 5]","[(10, 0), (0, 1), (0, 1)]","[15, 0, 5]",205.463141,-1671.288189,-1465.825048,"[10, 5, 15]","[(0, 1), (10, 0), (0, 1)]","[0, 15, 10]",-611.5229044,876.988964,265.4660596,"[5, 5, 10]","[(0, 1), (0, 1), (0, 1)]","[0, 5, 10]",-289,-568.011036,-857.011036,"[0, 5, 15]","[(0, 1), (0, 1), (0, 1)]","[0, 5, 15]",0,-568.011036,-568.011036,"[0, 5, 15]","[(0, 1), (0, 1), (0, 1)]","[0, 5, 15]",0,-568.011036,-568.011036,"[0, 5, 15]","[(5, 0), (0, 1), (0, 1)]","[5, 5, 10]",-279.011036,-289,-568.011036,"[5, 5, 10]","[(0, 1), (0, 0), (0, 0)]","[0, 5, 10]",-289,0,-289
"[0, 5, 20]","[(0, 1), (0, 0), (0, 1)]","[0, 5, 20]",2890,-1074.241039,1815.758961,"[0, 5, 20]","[(0, 1), (0, 1), (0, 1)]","[0, 5, 20]",0,-1074.241039,-1074.241039,"[0, 5, 20]","[(0, 1), (0, 1), (0, 1)]","[0, 5, 20]",0,-1074.241039,-1074.241039,"[0, 5, 20]","[(0, 1), (0, 1), (0, 1)]","[0, 0, 15]",-578,-496.2410389,-1074.241039,"[0, 0, 15]","[(5, 0), (0, 0), (0, 1)]","[5, 0, 5]",969.5840086,-1465.825048,-496.2410389,"[5, 0, 10]","[(10, 0), (0, 1), (0, 1)]","[15, 0, 10]",205.463141,-1724.011036,-1518.547895,"[10, 15, 20]","[(0, 1), (5, 0), (0, 1)]","[0, 20, 15]",-739.2614522,876.988964,137.7275118,"[5, 5, 15]","[(0, 1), (0, 1), (0, 1)]","[0, 5, 15]",-289,-568.011036,-857.011036,"[0, 5, 20]","[(0, 1), (0, 1), (0, 1)]","[0, 5, 20]",0,-568.011036,-568.011036,"[0, 5, 20]","[(0, 1), (0, 1), (0, 1)]","[0, 5, 20]",0,-568.011036,-568.011036,"[0, 5, 20]","[(5, 0), (0, 1), (0, 1)]","[5, 5, 15]",-279.011036,-289,-568.011036,"[5, 5, 15]","[(0, 1), (0, 0), (0, 0)]","[0, 5, 15]",-289,0,-289
