time,state,action,new_state,cost,new_state_val,total_cost,state_t9,action_t9,new_state_t9,cost_t9,new_state_val_cost_t9,total_cost_t9,state_t10,action_t10,new_state_t10,cost_t10,new_state_val_cost_t10,total_cost_t10,state_t11,action_t11,new_state_t11,cost_t11,new_state_val_cost_t11,total_cost_t11,state_t12,action_t12,new_state_t12,cost_t12,new_state_val_cost_t12,total_cost_t12,state_t13,action_t13,new_state_t13,cost_t13,new_state_val_cost_t13,total_cost_t13,state_t14,action_t14,new_state_t14,cost_t14,new_state_val_cost_t14,total_cost_t14,state_t15,action_t15,new_state_t15,cost_t15,new_state_val_cost_t15,total_cost_t15,state_t16,action_t16,new_state_t16,cost_t16,new_state_val_cost_t16,total_cost_t16,state_t17,action_t17,new_state_t17,cost_t17,new_state_val_cost_t17,total_cost_t17,state_t18,action_t18,new_state_t18,cost_t18,new_state_val_cost_t18,total_cost_t18,state_t19,action_t19,new_state_t19,cost_t19,new_state_val_cost_t19,total_cost_t19
8,"[0, 0, 0]","[(0, 1), (5, 0), (0, 1)]","[0, 5, 0]",1000.2515454609,0.0,1000.2515454609,"[0, 5, 0]","[(0, 1), (0, 1), (0, 1)]","[0, 5, 0]",0.0,0.0,0.0,"[0, 0, 0]","[(0, 1), (0, 1), (0, 1)]","[0, 0, 0]",0.0,-200.0,-200.0,"[0, 0, 0]","[(0, 1), (5, 0), (5, 0)]","[0, 5, 5]",1006.944449129,-300.0,706.944449129,"[0, 5, 5]","[(0, 1), (0, 1), (5, 0)]","[0, 0, 10]",935.4961967500001,0.0,935.4961967500001,"[0, 5, 5]","[(0, 1), (0, 1), (0, 1)]","[0, 5, 5]",0.0,-300.0,-300.0,"[0, 0, 0]","[(5, 0), (0, 1), (5, 0)]","[5, 0, 5]",1588.4003791,-100.0,1488.4003791,"[5, 0, 5]","[(0, 1), (0, 1), (0, 1)]","[0, 0, 5]",-100.0,0.0,-100.0,"[5, 0, 0]","[(0, 1), (0, 1), (0, 1)]","[5, 0, 0]",0.0,0.0,0.0,"[0, 0, 0]","[(0, 1), (0, 1), (0, 1)]","[0, 0, 0]",0.0,-100.0,-100.0,"[0, 0, 0]","[(0, 1), (0, 1), (5, 0)]","[0, 0, 5]",503.4563889335,-100.0,403.4563889335,"[0, 0, 5]","[(5, 0), (0, 1), (0, 1)]","[5, 0, 5]",500.44471817335,0.0,500.44471817335
8,"[0, 0, 5]","[(0, 1), (5, 0), (0, 1)]","[0, 5, 5]",1000.2515454609,0.0,1000.2515454609,"[0, 5, 5]","[(0, 1), (0, 1), (0, 1)]","[0, 5, 5]",0.0,0.0,0.0,"[0, 0, 5]","[(0, 1), (0, 1), (0, 1)]","[0, 0, 5]",0.0,-200.0,-200.0,"[0, 0, 5]","[(0, 1), (5, 0), (0, 1)]","[0, 5, 0]",403.4722245645,-300.0,103.47222456449998,"[0, 5, 0]","[(0, 1), (0, 1), (5, 0)]","[0, 0, 5]",935.4961967500001,0.0,935.4961967500001,"[0, 5, 10]","[(0, 1), (0, 1), (0, 1)]","[0, 5, 10]",0.0,-300.0,-300.0,"[0, 0, 5]","[(5, 0), (0, 1), (0, 1)]","[5, 0, 0]",944.20018955,-100.0,844.20018955,"[5, 0, 0]","[(0, 1), (0, 1), (0, 1)]","[0, 0, 0]",-100.0,0.0,-100.0,"[5, 0, 5]","[(0, 1), (0, 1), (0, 1)]","[5, 0, 5]",0.0,0.0,0.0,"[0, 0, 5]","[(0, 1), (0, 1), (0, 1)]","[0, 0, 5]",0.0,-100.0,-100.0,"[0, 0, 5]","[(0, 1), (0, 1), (0, 1)]","[0, 0, 0]",-100.0,-100.0,-200.0,"[0, 0, 0]","[(5, 0), (0, 1), (0, 1)]","[5, 0, 0]",500.44471817335,0.0,500.44471817335
8,"[0, 0, 10]","[(0, 1), (5, 0), (0, 1)]","[0, 5, 10]",1000.2515454609,0.0,1000.2515454609,"[0, 5, 10]","[(0, 1), (0, 1), (0, 1)]","[0, 5, 10]",0.0,0.0,0.0,"[0, 0, 10]","[(0, 1), (0, 1), (0, 1)]","[0, 0, 10]",0.0,-200.0,-200.0,"[0, 0, 10]","[(0, 1), (5, 0), (0, 1)]","[0, 5, 5]",403.4722245645,-300.0,103.47222456449998,"[0, 5, 5]","[(0, 1), (0, 1), (5, 0)]","[0, 0, 10]",935.4961967500001,0.0,935.4961967500001,"[0, 5, 0]","[(0, 1), (0, 1), (0, 1)]","[0, 5, 0]",0.0,-300.0,-300.0,"[0, 0, 10]","[(5, 0), (0, 1), (0, 1)]","[5, 0, 5]",944.20018955,-100.0,844.20018955,"[5, 0, 5]","[(0, 1), (0, 1), (0, 1)]","[0, 0, 5]",-100.0,0.0,-100.0,"[5, 0, 10]","[(0, 1), (0, 1), (0, 1)]","[5, 0, 10]",0.0,0.0,0.0,"[0, 0, 10]","[(0, 1), (0, 1), (0, 1)]","[0, 0, 10]",0.0,-100.0,-100.0,"[0, 0, 10]","[(0, 1), (0, 1), (0, 1)]","[0, 0, 5]",-100.0,-100.0,-200.0,"[0, 0, 5]","[(5, 0), (0, 1), (0, 1)]","[5, 0, 5]",500.44471817335,0.0,500.44471817335
8,"[0, 0, 15]","[(0, 1), (5, 0), (0, 1)]","[0, 5, 15]",1000.2515454609,0.0,1000.2515454609,"[0, 5, 15]","[(0, 1), (0, 1), (0, 1)]","[0, 5, 15]",0.0,0.0,0.0,"[0, 0, 15]","[(0, 1), (0, 1), (0, 1)]","[0, 0, 15]",0.0,-200.0,-200.0,"[0, 0, 15]","[(0, 1), (5, 0), (0, 1)]","[0, 5, 10]",403.4722245645,-300.0,103.47222456449998,"[0, 5, 10]","[(0, 1), (0, 1), (0, 1)]","[0, 0, 0]",-300.0,0.0,-300.0,"[0, 5, 5]","[(0, 1), (0, 1), (0, 1)]","[0, 5, 5]",0.0,-300.0,-300.0,"[0, 0, 15]","[(5, 0), (0, 1), (0, 1)]","[5, 0, 10]",944.20018955,-100.0,844.20018955,"[5, 0, 10]","[(0, 1), (0, 1), (0, 1)]","[0, 0, 10]",-100.0,0.0,-100.0,"[5, 0, 15]","[(0, 1), (0, 1), (0, 1)]","[5, 0, 15]",0.0,0.0,0.0,"[0, 0, 15]","[(0, 1), (0, 1), (0, 1)]","[0, 0, 15]",0.0,-100.0,-100.0,"[0, 0, 15]","[(0, 1), (0, 1), (0, 1)]","[0, 0, 10]",-100.0,-100.0,-200.0,"[0, 0, 10]","[(5, 0), (0, 1), (0, 1)]","[5, 0, 10]",500.44471817335,0.0,500.44471817335
8,"[0, 0, 20]","[(0, 1), (5, 0), (0, 1)]","[0, 5, 20]",1000.2515454609,0.0,1000.2515454609,"[0, 5, 20]","[(0, 1), (0, 1), (0, 1)]","[0, 5, 20]",0.0,0.0,0.0,"[0, 0, 20]","[(0, 1), (0, 1), (0, 1)]","[0, 0, 20]",0.0,-200.0,-200.0,"[0, 0, 20]","[(0, 1), (5, 0), (0, 1)]","[0, 5, 15]",403.4722245645,-300.0,103.47222456449998,"[0, 5, 15]","[(0, 1), (0, 1), (0, 1)]","[0, 0, 5]",-300.0,0.0,-300.0,"[0, 5, 10]","[(0, 1), (0, 1), (0, 1)]","[0, 5, 10]",0.0,-300.0,-300.0,"[0, 0, 20]","[(5, 0), (0, 1), (0, 1)]","[5, 0, 15]",944.20018955,-100.0,844.20018955,"[5, 0, 15]","[(0, 1), (0, 1), (0, 1)]","[0, 0, 15]",-100.0,0.0,-100.0,"[5, 0, 20]","[(0, 1), (0, 1), (0, 1)]","[5, 0, 20]",0.0,0.0,0.0,"[0, 0, 20]","[(0, 1), (0, 1), (0, 1)]","[0, 0, 20]",0.0,-100.0,-100.0,"[0, 0, 20]","[(0, 1), (0, 1), (0, 1)]","[0, 0, 15]",-100.0,-100.0,-200.0,"[0, 0, 15]","[(5, 0), (0, 1), (0, 1)]","[5, 0, 15]",500.44471817335,0.0,500.44471817335
8,"[0, 5, 0]","[(0, 1), (5, 0), (0, 1)]","[0, 10, 0]",1000.2515454609,0.0,1000.2515454609,"[0, 10, 0]","[(0, 1), (0, 1), (0, 1)]","[0, 10, 0]",0.0,0.0,0.0,"[0, 5, 0]","[(0, 1), (0, 1), (0, 1)]","[0, 5, 0]",0.0,-200.0,-200.0,"[0, 5, 0]","[(0, 1), (0, 1), (5, 0)]","[0, 0, 5]",403.4722245645,-300.0,103.47222456449998,"[0, 0, 5]","[(0, 1), (5, 0), (5, 0)]","[0, 5, 10]",1570.9923935000002,0.0,1570.9923935000002,"[0, 0, 5]","[(0, 1), (0, 1), (0, 1)]","[0, 0, 5]",0.0,-300.0,-300.0,"[0, 5, 0]","[(5, 0), (0, 1), (5, 0)]","[5, 5, 5]",1588.4003791,-100.0,1488.4003791,"[5, 5, 5]","[(0, 1), (0, 1), (0, 1)]","[0, 5, 5]",-100.0,0.0,-100.0,"[5, 5, 0]","[(0, 1), (0, 1), (0, 1)]","[5, 5, 0]",0.0,0.0,0.0,"[0, 5, 0]","[(0, 1), (0, 1), (0, 1)]","[0, 5, 0]",0.0,-100.0,-100.0,"[0, 5, 0]","[(0, 1), (0, 1), (5, 0)]","[0, 5, 5]",503.4563889335,-100.0,403.4563889335,"[0, 5, 5]","[(5, 0), (0, 1), (0, 1)]","[5, 5, 5]",500.44471817335,0.0,500.44471817335
8,"[0, 5, 5]","[(0, 1), (5, 0), (0, 1)]","[0, 10, 5]",1000.2515454609,0.0,1000.2515454609,"[0, 10, 5]","[(0, 1), (0, 1), (0, 1)]","[0, 10, 5]",0.0,0.0,0.0,"[0, 5, 5]","[(0, 1), (0, 1), (0, 1)]","[0, 5, 5]",0.0,-200.0,-200.0,"[0, 5, 5]","[(0, 1), (0, 1), (0, 1)]","[0, 0, 0]",-200.0,-300.0,-500.0,"[0, 0, 0]","[(0, 1), (5, 0), (5, 0)]","[0, 5, 5]",1570.9923935000002,0.0,1570.9923935000002,"[0, 0, 10]","[(0, 1), (0, 1), (0, 1)]","[0, 0, 10]",0.0,-300.0,-300.0,"[0, 5, 5]","[(5, 0), (0, 1), (0, 1)]","[5, 5, 0]",944.20018955,-100.0,844.20018955,"[5, 5, 0]","[(0, 1), (0, 1), (0, 1)]","[0, 5, 0]",-100.0,0.0,-100.0,"[5, 5, 5]","[(0, 1), (0, 1), (0, 1)]","[5, 5, 5]",0.0,0.0,0.0,"[0, 5, 5]","[(0, 1), (0, 1), (0, 1)]","[0, 5, 5]",0.0,-100.0,-100.0,"[0, 5, 5]","[(0, 1), (0, 1), (0, 1)]","[0, 5, 0]",-100.0,-100.0,-200.0,"[0, 5, 0]","[(5, 0), (0, 1), (0, 1)]","[5, 5, 0]",500.44471817335,0.0,500.44471817335
8,"[0, 5, 10]","[(0, 1), (5, 0), (0, 1)]","[0, 10, 10]",1000.2515454609,0.0,1000.2515454609,"[0, 10, 10]","[(0, 1), (0, 1), (0, 1)]","[0, 10, 10]",0.0,0.0,0.0,"[0, 5, 10]","[(0, 1), (0, 1), (0, 1)]","[0, 5, 10]",0.0,-200.0,-200.0,"[0, 5, 10]","[(0, 1), (0, 1), (0, 1)]","[0, 0, 5]",-200.0,-300.0,-500.0,"[0, 0, 5]","[(0, 1), (5, 0), (5, 0)]","[0, 5, 10]",1570.9923935000002,0.0,1570.9923935000002,"[0, 0, 0]","[(0, 1), (0, 1), (0, 1)]","[0, 0, 0]",0.0,-300.0,-300.0,"[0, 5, 10]","[(5, 0), (0, 1), (0, 1)]","[5, 5, 5]",944.20018955,-100.0,844.20018955,"[5, 5, 5]","[(0, 1), (0, 1), (0, 1)]","[0, 5, 5]",-100.0,0.0,-100.0,"[5, 5, 10]","[(0, 1), (0, 1), (0, 1)]","[5, 5, 10]",0.0,0.0,0.0,"[0, 5, 10]","[(0, 1), (0, 1), (0, 1)]","[0, 5, 10]",0.0,-100.0,-100.0,"[0, 5, 10]","[(0, 1), (0, 1), (0, 1)]","[0, 5, 5]",-100.0,-100.0,-200.0,"[0, 5, 5]","[(5, 0), (0, 1), (0, 1)]","[5, 5, 5]",500.44471817335,0.0,500.44471817335
8,"[0, 5, 15]","[(0, 1), (5, 0), (0, 1)]","[0, 10, 15]",1000.2515454609,0.0,1000.2515454609,"[0, 10, 15]","[(0, 1), (0, 1), (0, 1)]","[0, 10, 15]",0.0,0.0,0.0,"[0, 5, 15]","[(0, 1), (0, 1), (0, 1)]","[0, 5, 15]",0.0,-200.0,-200.0,"[0, 5, 15]","[(0, 1), (0, 1), (0, 1)]","[0, 0, 10]",-200.0,-300.0,-500.0,"[0, 0, 10]","[(0, 1), (5, 0), (0, 1)]","[0, 5, 0]",335.49619674999997,0.0,335.49619674999997,"[0, 0, 5]","[(0, 1), (0, 1), (0, 1)]","[0, 0, 5]",0.0,-300.0,-300.0,"[0, 5, 15]","[(5, 0), (0, 1), (0, 1)]","[5, 5, 10]",944.20018955,-100.0,844.20018955,"[5, 5, 10]","[(0, 1), (0, 1), (0, 1)]","[0, 5, 10]",-100.0,0.0,-100.0,"[5, 5, 15]","[(0, 1), (0, 1), (0, 1)]","[5, 5, 15]",0.0,0.0,0.0,"[0, 5, 15]","[(0, 1), (0, 1), (0, 1)]","[0, 5, 15]",0.0,-100.0,-100.0,"[0, 5, 15]","[(0, 1), (0, 1), (0, 1)]","[0, 5, 10]",-100.0,-100.0,-200.0,"[0, 5, 10]","[(5, 0), (0, 1), (0, 1)]","[5, 5, 10]",500.44471817335,0.0,500.44471817335
8,"[0, 5, 20]","[(0, 1), (5, 0), (0, 1)]","[0, 10, 20]",1000.2515454609,0.0,1000.2515454609,"[0, 10, 20]","[(0, 1), (0, 1), (0, 1)]","[0, 10, 20]",0.0,0.0,0.0,"[0, 5, 20]","[(0, 1), (0, 1), (0, 1)]","[0, 5, 20]",0.0,-200.0,-200.0,"[0, 5, 20]","[(0, 1), (0, 1), (0, 1)]","[0, 0, 15]",-200.0,-300.0,-500.0,"[0, 0, 15]","[(0, 1), (5, 0), (0, 1)]","[0, 5, 5]",335.49619674999997,0.0,335.49619674999997,"[0, 0, 10]","[(0, 1), (0, 1), (0, 1)]","[0, 0, 10]",0.0,-300.0,-300.0,"[0, 5, 20]","[(5, 0), (0, 1), (0, 1)]","[5, 5, 15]",944.20018955,-100.0,844.20018955,"[5, 5, 15]","[(0, 1), (0, 1), (0, 1)]","[0, 5, 15]",-100.0,0.0,-100.0,"[5, 5, 20]","[(0, 1), (0, 1), (0, 1)]","[5, 5, 20]",0.0,0.0,0.0,"[0, 5, 20]","[(0, 1), (0, 1), (0, 1)]","[0, 5, 20]",0.0,-100.0,-100.0,"[0, 5, 20]","[(0, 1), (0, 1), (0, 1)]","[0, 5, 15]",-100.0,-100.0,-200.0,"[0, 5, 15]","[(5, 0), (0, 1), (0, 1)]","[5, 5, 15]",500.44471817335,0.0,500.44471817335
