E_given,P_C,Trip,obj
"[0, 0, 0]","[0.0, 0.0, 0.0]",[0.0 0.0; 0.0 0.0; 0.0 0.0],10000.0
"[0, 0, 10]","[0.0, 0.0, 0.0]",[0.0 0.0; 0.0 0.0; 0.0 1.0],4000.0
"[0, 0, 20]","[0.0, 0.0, 0.0]",[0.0 0.0; 0.0 0.0; 0.0 1.0],4000.0
"[0, 0, 30]","[0.0, 0.0, 0.0]",[0.0 0.0; 0.0 0.0; 0.0 1.0],4000.0
"[0, 0, 40]","[0.0, 0.0, 0.0]",[0.0 0.0; 0.0 0.0; 0.0 1.0],4000.0
"[0, 0, 50]","[0.0, 0.0, 0.0]",[0.0 0.0; 0.0 0.0; 0.0 1.0],4000.0
"[0, 0, 60]","[0.0, 0.0, 0.0]",[0.0 0.0; 0.0 0.0; 0.0 1.0],4000.0
"[0, 0, 70]","[0.0, 0.0, 0.0]",[0.0 0.0; 0.0 0.0; 0.0 1.0],4000.0
"[0, 0, 80]","[0.0, 0.0, 0.0]",[0.0 0.0; 0.0 0.0; 0.0 1.0],4000.0
"[0, 0, 90]","[0.0, 0.0, 0.0]",[0.0 0.0; 0.0 0.0; 0.0 1.0],4000.0
"[0, 0, 100]","[0.0, 0.0, 0.0]",[0.0 0.0; 0.0 0.0; 0.0 1.0],4000.0
"[0, 10, 0]","[0.0, 0.0, 0.0]",[0.0 0.0; 0.0 1.0; 0.0 0.0],4000.0
"[0, 10, 10]","[0.0, 0.0, 0.0]",[0.0 0.0; 0.0 1.0; 1.0 -0.0],0.0
"[0, 10, 20]","[0.0, 0.0, 0.0]",[0.0 0.0; 0.0 1.0; 1.0 -0.0],0.0
"[0, 10, 30]","[0.0, 0.0, 0.0]",[0.0 0.0; 0.0 1.0; 1.0 -0.0],0.0
"[0, 10, 40]","[0.0, 0.0, 0.0]",[0.0 0.0; 0.0 1.0; 1.0 -0.0],0.0
"[0, 10, 50]","[0.0, 0.0, 0.0]",[0.0 0.0; 0.0 1.0; 1.0 -0.0],0.0
"[0, 10, 60]","[0.0, 0.0, 0.0]",[0.0 0.0; 0.0 1.0; 1.0 -0.0],0.0
"[0, 10, 70]","[0.0, 0.0, 0.0]",[0.0 0.0; 0.0 1.0; 1.0 -0.0],0.0
"[0, 10, 80]","[0.0, 0.0, 0.0]",[0.0 0.0; 0.0 1.0; 1.0 -0.0],0.0
"[0, 10, 90]","[0.0, 0.0, 0.0]",[0.0 0.0; 0.0 1.0; 1.0 -0.0],0.0
"[0, 10, 100]","[0.0, 0.0, 0.0]",[0.0 0.0; 0.0 1.0; 1.0 -0.0],0.0
"[0, 20, 0]","[0.0, 0.0, 0.0]",[0.0 0.0; 0.0 1.0; 0.0 0.0],4000.0
