state,total_cost,Count,
"[0, 0, 0]",465.5865356,1,58
"[0, 0, 5]",3757.272095,1,
"[0, 0, 10]",3550.766794,1,
"[0, 0, 15]",389.4766607,1,
"[0, 0, 20]",2019.702931,1,
"[0, 5, 0]",1968.074258,1,
"[0, 5, 5]",2022.082374,1,
"[0, 5, 10]",1918.161082,1,
"[0, 5, 15]",2019.702931,1,
"[0, 5, 20]",1890.774661,1,
"[0, 10, 0]",-3260.270003,0,
"[0, 10, 5]",31.41555649,1,
"[0, 10, 10]",-175.089744,0,
"[0, 10, 15]",-3336.379878,0,
"[0, 10, 20]",-3438.963886,0,
"[0, 15, 0]",-3260.270003,0,
"[0, 15, 5]",31.41555649,1,
"[0, 15, 10]",-175.089744,0,
"[0, 15, 15]",-3336.379878,0,
"[0, 15, 20]",-3438.963886,0,
"[0, 20, 0]",-3260.270003,0,
"[0, 20, 5]",31.41555649,1,
"[0, 20, 10]",-175.089744,0,
"[0, 20, 15]",-3336.379878,0,
"[0, 20, 20]",-3438.963886,0,
"[5, 0, 0]",1924.085747,1,
"[5, 0, 5]",3491.806035,1,
"[5, 0, 10]",3182.569164,1,
"[5, 0, 15]",124.0106011,1,
"[5, 0, 20]",1651.652862,1,
"[5, 5, 0]",3451.728008,1,
"[5, 5, 5]",1654.032305,1,
"[5, 5, 10]",1447.379443,1,
"[5, 5, 15]",1651.652862,1,
"[5, 5, 20]",1650.463141,1,
"[5, 10, 0]",-1546.293696,0,
"[5, 10, 5]",21.42659247,1,
"[5, 10, 10]",-287.8102786,0,
"[5, 10, 15]",-3346.368842,0,
"[5, 10, 20]",-3551.536859,0,
"[5, 15, 0]",-1546.293696,0,
"[5, 15, 5]",21.42659247,1,
"[5, 15, 10]",-287.8102786,0,
"[5, 15, 15]",-3346.368842,0,
"[5, 15, 20]",-3551.536859,0,
"[5, 20, 0]",-3280.293696,0,
"[5, 20, 5]",21.42659247,1,
"[5, 20, 10]",-287.8102786,0,
"[5, 20, 15]",-3346.368842,0,
"[5, 20, 20]",-3551.536859,0,
"[10, 0, 0]",3442.735439,1,
"[10, 0, 5]",5123.074465,1,
"[10, 0, 10]",4916.569164,1,
"[10, 0, 15]",1652.695022,1,
"[10, 0, 20]",3282.921292,1,
"[10, 5, 0]",5072.961709,1,
"[10, 5, 5]",3285.300735,1,
"[10, 5, 10]",3181.379443,1,
"[10, 5, 15]",3282.921292,1,
"[10, 5, 20]",3281.73157,1,
"[10, 10, 0]",-27.64400397,0,
"[10, 10, 5]",1652.695022,1,
"[10, 10, 10]",1446.189721,1,
"[10, 10, 15]",-1817.684421,0,
"[10, 10, 20]",-1920.26843,0,
"[10, 15, 0]",-27.64400397,0,
"[10, 15, 5]",1652.695022,1,
"[10, 15, 10]",1446.189721,1,
"[10, 15, 15]",-1817.684421,0,
"[10, 15, 20]",-1920.26843,0,
"[10, 20, 0]",-1761.644004,0,
"[10, 20, 5]",1652.695022,1,
"[10, 20, 10]",1446.189721,1,
"[10, 20, 15]",-1817.684421,0,
"[10, 20, 20]",-1920.26843,0,
"[15, 0, 0]",1503.41986,1,
"[15, 0, 5]",-284.2411142,0,
"[15, 0, 10]",3182.569164,1,
"[15, 0, 15]",-286.6205571,0,
"[15, 0, 20]",1446.189721,1,
"[15, 5, 0]",3236.230138,1,
"[15, 5, 5]",1448.569164,1,
"[15, 5, 10]",1447.379443,1,
"[15, 5, 15]",1446.189721,1,
"[15, 5, 20]",1445,1,
"[15, 10, 0]",-1966.959583,0,
"[15, 10, 5]",-3754.620557,0,
"[15, 10, 10]",-287.8102786,0,
"[15, 10, 15]",-3757,0,
"[15, 10, 20]",-3757,0,
"[15, 15, 0]",-1966.959583,0,
"[15, 15, 5]",-3754.620557,0,
"[15, 15, 10]",-287.8102786,0,
"[15, 15, 15]",-3757,0,
"[15, 15, 20]",-3757,0,
"[15, 20, 0]",-1966.959583,0,
"[15, 20, 5]",-3754.620557,0,
"[15, 20, 10]",-287.8102786,0,
"[15, 20, 15]",-3757,0,
"[15, 20, 20]",-3757,0,
"[20, 0, 0]",1503.41986,1,
"[20, 0, 5]",-284.2411142,0,
"[20, 0, 10]",3182.569164,1,
"[20, 0, 15]",-286.6205571,0,
"[20, 0, 20]",1446.189721,1,
"[20, 5, 0]",3236.230138,1,
"[20, 5, 5]",1448.569164,1,
"[20, 5, 10]",1447.379443,1,
"[20, 5, 15]",1446.189721,1,
"[20, 5, 20]",1445,1,
"[20, 10, 0]",-1966.959583,0,
"[20, 10, 5]",-3754.620557,0,
"[20, 10, 10]",-287.8102786,0,
"[20, 10, 15]",-3757,0,
"[20, 10, 20]",-3757,0,
"[20, 15, 0]",-1966.959583,0,
"[20, 15, 5]",-3754.620557,0,
"[20, 15, 10]",-287.8102786,0,
"[20, 15, 15]",-3757,0,
"[20, 15, 20]",-3757,0,
"[20, 20, 0]",-1966.959583,0,
"[20, 20, 5]",-3754.620557,0,
"[20, 20, 10]",-287.8102786,0,
"[20, 20, 15]",-3757,0,
"[20, 20, 20]",-3757,0,
