state,total_cost,Count,
"[0, 0, 0]",653.4498322,1,21
"[0, 0, 5]",319.058422,1,
"[0, 0, 10]",1103.711284,1,
"[0, 0, 15]",298.988964,1,
"[0, 0, 20]",401.5729726,1,
"[0, 5, 0]",74.26011079,1,
"[0, 5, 5]",319.058422,1,
"[0, 5, 10]",1102.521563,1,
"[0, 5, 15]",-279.011036,0,
"[0, 5, 20]",-176.4270274,0,
"[0, 10, 0]",-513.7746182,0,
"[0, 10, 5]",-1424.976307,0,
"[0, 10, 10]",-631.478437,0,
"[0, 10, 15]",-2013.011036,0,
"[0, 10, 20]",-1910.427027,0,
"[0, 15, 0]",-513.7746182,0,
"[0, 15, 5]",-1424.976307,0,
"[0, 15, 10]",-631.478437,0,
"[0, 15, 15]",-2013.011036,0,
"[0, 15, 20]",-1910.427027,0,
"[0, 20, 0]",-513.7746182,0,
"[0, 20, 5]",-1424.976307,0,
"[0, 20, 10]",-631.478437,0,
"[0, 20, 15]",-2013.011036,0,
"[0, 20, 20]",-1910.427027,0,
"[5, 0, 0]",550.7640267,1,
"[5, 0, 5]",299.034729,1,
"[5, 0, 10]",989.8010285,1,
"[5, 0, 15]",-289,0,
"[5, 0, 20]",-289,0,
"[5, 5, 0]",1127.574305,1,
"[5, 5, 5]",309.069458,1,
"[5, 5, 10]",411.8010285,1,
"[5, 5, 15]",-867,0,
"[5, 5, 20]",-867,0,
"[5, 10, 0]",-636.5298817,0,
"[5, 10, 5]",-1445,0,
"[5, 10, 10]",-1332.233701,0,
"[5, 10, 15]",-2601,0,
"[5, 10, 20]",-2601,0,
"[5, 15, 0]",-636.5298817,0,
"[5, 15, 5]",-1445,0,
"[5, 15, 10]",-1332.233701,0,
"[5, 15, 15]",-2601,0,
"[5, 15, 20]",-2601,0,
"[5, 20, 0]",-636.5298817,0,
"[5, 20, 5]",-1445,0,
"[5, 20, 10]",-1332.233701,0,
"[5, 20, 15]",-2601,0,
"[5, 20, 20]",-2601,0,
"[10, 0, 0]",1015.997727,1,
"[10, 0, 5]",-23.48817541,0,
"[10, 0, 10]",299.034729,1,
"[10, 0, 15]",-867,0,
"[10, 0, 20]",-867,0,
"[10, 5, 0]",1592.808006,1,
"[10, 5, 5]",-13.45344642,0,
"[10, 5, 10]",-278.965271,0,
"[10, 5, 15]",-1445,0,
"[10, 5, 20]",-1445,0,
"[10, 10, 0]",-161.2614522,0,
"[10, 10, 5]",-1767.522904,0,
"[10, 10, 10]",-2023,0,
"[10, 10, 15]",-3179,0,
"[10, 10, 20]",-3179,0,
"[10, 15, 0]",-161.2614522,0,
"[10, 15, 5]",-1895.261452,0,
"[10, 15, 10]",-2023,0,
"[10, 15, 15]",-3179,0,
"[10, 15, 20]",-3179,0,
"[10, 20, 0]",-161.2614522,0,
"[10, 20, 5]",-2023,0,
"[10, 20, 10]",-2023,0,
"[10, 20, 15]",-3179,0,
"[10, 20, 20]",-3179,0,
"[15, 0, 0]",300.2244504,1,
"[15, 0, 5]",-856.965271,0,
"[15, 0, 10]",-289,0,
"[15, 0, 15]",-1445,0,
"[15, 0, 20]",-1445,0,
"[15, 5, 0]",877.034729,1,
"[15, 5, 5]",-856.965271,0,
"[15, 5, 10]",-867,0,
"[15, 5, 15]",-2023,0,
"[15, 5, 20]",-2023,0,
"[15, 10, 0]",-867,0,
"[15, 10, 5]",-2601,0,
"[15, 10, 10]",-2601,0,
"[15, 10, 15]",-3757,0,
"[15, 10, 20]",-3757,0,
"[15, 15, 0]",-867,0,
"[15, 15, 5]",-2601,0,
"[15, 15, 10]",-2601,0,
"[15, 15, 15]",-3757,0,
"[15, 15, 20]",-3757,0,
"[15, 20, 0]",-867,0,
"[15, 20, 5]",-2601,0,
"[15, 20, 10]",-2601,0,
"[15, 20, 15]",-3757,0,
"[15, 20, 20]",-3757,0,
"[20, 0, 0]",300.2244504,1,
"[20, 0, 5]",-856.965271,0,
"[20, 0, 10]",-289,0,
"[20, 0, 15]",-1445,0,
"[20, 0, 20]",-1445,0,
"[20, 5, 0]",877.034729,1,
"[20, 5, 5]",-867,0,
"[20, 5, 10]",-867,0,
"[20, 5, 15]",-2023,0,
"[20, 5, 20]",-2023,0,
"[20, 10, 0]",-867,0,
"[20, 10, 5]",-2601,0,
"[20, 10, 10]",-2601,0,
"[20, 10, 15]",-3757,0,
"[20, 10, 20]",-3757,0,
"[20, 15, 0]",-867,0,
"[20, 15, 5]",-2601,0,
"[20, 15, 10]",-2601,0,
"[20, 15, 15]",-3757,0,
"[20, 15, 20]",-3757,0,
"[20, 20, 0]",-867,0,
"[20, 20, 5]",-2601,0,
"[20, 20, 10]",-2601,0,
"[20, 20, 15]",-3757,0,
"[20, 20, 20]",-3757,0,
