state,total_cost,,
"[0, 0, 0]",1515.832519,1,48
"[0, 0, 5]",2497.498365,1,
"[0, 0, 10]",1443.040214,1,
"[0, 0, 15]",193.153651,1,
"[0, 0, 20]",191.9639296,1,
"[0, 5, 0]",1514.642798,1,
"[0, 5, 5]",1340.308643,1,
"[0, 5, 10]",1441.850493,1,
"[0, 5, 15]",191.9639296,1,
"[0, 5, 20]",201.9986586,1,
"[0, 10, 0]",-1954.546923,0,
"[0, 10, 5]",183.118922,1,
"[0, 10, 10]",-2027.339229,0,
"[0, 10, 15]",-3286.070799,0,
"[0, 10, 20]",-3286.070799,0,
"[0, 15, 0]",-2082.285471,0,
"[0, 15, 5]",55.38037425,1,
"[0, 15, 10]",-2155.077777,0,
"[0, 15, 15]",-3413.809347,0,
"[0, 15, 20]",-3413.809347,0,
"[0, 20, 0]",-2210.024019,0,
"[0, 20, 5]",-72.35817355,0,
"[0, 20, 10]",-2282.816324,0,
"[0, 20, 15]",-3541.547895,0,
"[0, 20, 20]",-3541.547895,0,
"[5, 0, 0]",2306.014332,1,
"[5, 0, 5]",1248.847288,1,
"[5, 0, 10]",1350.389137,1,
"[5, 0, 15]",70.39838753,1,
"[5, 0, 20]",1245.278124,1,
"[5, 5, 0]",1148.824611,1,
"[5, 5, 5]",91.65756695,1,
"[5, 5, 10]",2505.199416,1,
"[5, 5, 15]",69.20866609,1,
"[5, 5, 20]",89.27812407,1,
"[5, 10, 0]",-8.365110681,0,
"[5, 10, 5]",-1065.532154,0,
"[5, 10, 10]",-963.9903054,0,
"[5, 10, 15]",-3398.791334,0,
"[5, 10, 20]",-3398.791334,0,
"[5, 15, 0]",-8.365110681,0,
"[5, 15, 5]",-1193.270702,0,
"[5, 15, 10]",-1091.728853,0,
"[5, 15, 15]",-3526.529882,0,
"[5, 15, 20]",-3526.529882,0,
"[5, 20, 0]",-8.365110681,0,
"[5, 20, 5]",-1321.00925,0,
"[5, 20, 10]",-1219.467401,0,
"[5, 20, 15]",-3654.26843,0,
"[5, 20, 20]",-3654.26843,0,
"[10, 0, 0]",3349.248033,1,
"[10, 0, 5]",2292.080989,1,
"[10, 0, 10]",2393.622838,1,
"[10, 0, 15]",1123.666817,1,
"[10, 0, 20]",2288.511825,1,
"[10, 5, 0]",2192.058311,1,
"[10, 5, 5]",1134.891267,1,
"[10, 5, 10]",3548.433117,1,
"[10, 5, 15]",1122.477096,1,
"[10, 5, 20]",1132.511825,1,
"[10, 10, 0]",1034.86859,1,
"[10, 10, 5]",-22.29845397,0,
"[10, 10, 10]",79.24339508,1,
"[10, 10, 15]",-2345.522904,0,
"[10, 10, 20]",-2345.522904,0,
"[10, 15, 0]",1034.86859,1,
"[10, 15, 5]",-150.0370018,0,
"[10, 15, 10]",-48.49515272,0,
"[10, 15, 15]",-2473.261452,0,
"[10, 15, 20]",-2473.261452,0,
"[10, 20, 0]",1034.86859,1,
"[10, 20, 5]",-277.7755496,0,
"[10, 20, 10]",-176.2337005,0,
"[10, 20, 15]",-2601,0,
"[10, 20, 20]",-2601,0,
"[15, 0, 0]",2080.481733,1,
"[15, 0, 5]",870.5691643,1,
"[15, 0, 10]",869.3794429,1,
"[15, 0, 15]",-287.8102786,0,
"[15, 0, 20]",867,1,
"[15, 5, 0]",923.2920118,1,
"[15, 5, 5]",-286.6205571,0,
"[15, 5, 10]",2024.189721,1,
"[15, 5, 15]",-289,0,
"[15, 5, 20]",-289,0,
"[15, 10, 0]",-233.8977097,0,
"[15, 10, 5]",-1443.810279,0,
"[15, 10, 10]",-1445,0,
"[15, 10, 15]",-3757,0,
"[15, 10, 20]",-3757,0,
"[15, 15, 0]",-233.8977097,0,
"[15, 15, 5]",-1443.810279,0,
"[15, 15, 10]",-1445,0,
"[15, 15, 15]",-3757,0,
"[15, 15, 20]",-3757,0,
"[15, 20, 0]",-233.8977097,0,
"[15, 20, 5]",-1443.810279,0,
"[15, 20, 10]",-1445,0,
"[15, 20, 15]",-3757,0,
"[15, 20, 20]",-3757,0,
"[20, 0, 0]",2080.481733,1,
"[20, 0, 5]",870.5691643,1,
"[20, 0, 10]",869.3794429,1,
"[20, 0, 15]",-287.8102786,0,
"[20, 0, 20]",867,1,
"[20, 5, 0]",923.2920118,1,
"[20, 5, 5]",-286.6205571,0,
"[20, 5, 10]",2024.189721,1,
"[20, 5, 15]",-289,0,
"[20, 5, 20]",-289,0,
"[20, 10, 0]",-233.8977097,0,
"[20, 10, 5]",-1443.810279,0,
"[20, 10, 10]",-1445,0,
"[20, 10, 15]",-3757,0,
"[20, 10, 20]",-3757,0,
"[20, 15, 0]",-233.8977097,0,
"[20, 15, 5]",-1443.810279,0,
"[20, 15, 10]",-1445,0,
"[20, 15, 15]",-3757,0,
"[20, 15, 20]",-3757,0,
"[20, 20, 0]",-233.8977097,0,
"[20, 20, 5]",-1443.810279,0,
"[20, 20, 10]",-1445,0,
"[20, 20, 15]",-3757,0,
"[20, 20, 20]",-3757,0,
