state,total_cost,count,
"[0, 0, 0]",1228.561211,1,56
"[0, 0, 5]",1091.299998,1,
"[0, 0, 10]",1183.996839,1,
"[0, 0, 15]",957.2745186,1,
"[0, 0, 20]",1172.624827,1,
"[0, 5, 0]",2568.638194,1,
"[0, 5, 5]",2432.526268,1,
"[0, 5, 10]",2525.223109,1,
"[0, 5, 15]",863.5355176,1,
"[0, 5, 20]",967.4568095,1,
"[0, 10, 0]",-1662.628511,0,
"[0, 10, 5]",-1829.993911,0,
"[0, 10, 10]",-3162.227611,0,
"[0, 10, 15]",-3388.949932,0,
"[0, 10, 20]",-3183.634353,0,
"[0, 15, 0]",-1791.516345,0,
"[0, 15, 5]",-1957.732459,0,
"[0, 15, 10]",-3289.966159,0,
"[0, 15, 15]",-3516.68848,0,
"[0, 15, 20]",-3311.3729,0,
"[0, 20, 0]",-1919.981859,0,
"[0, 20, 5]",-1982.739436,0,
"[0, 20, 10]",-3417.704707,0,
"[0, 20, 15]",-3541.695457,0,
"[0, 20, 20]",-3336.379878,0,
"[5, 0, 0]",2304.573016,1,
"[5, 0, 5]",874.805733,1,
"[5, 0, 10]",3960.234145,1,
"[5, 0, 15]",843.5118246,1,
"[5, 0, 20]",2401.278124,1,
"[5, 5, 0]",3747.445168,1,
"[5, 5, 5]",2318.616012,1,
"[5, 5, 10]",2514.044424,1,
"[5, 5, 15]",853.5465536,1,
"[5, 5, 20]",956.2781241,1,
"[5, 10, 0]",-587.806427,0,
"[5, 10, 5]",-2046.488175,0,
"[5, 10, 10]",-385.9903054,0,
"[5, 10, 15]",-3501.522904,0,
"[5, 10, 20]",-3296.207325,0,
"[5, 15, 0]",-588.7445536,0,
"[5, 15, 5]",-2174.226723,0,
"[5, 15, 10]",-513.7288532,0,
"[5, 15, 15]",-3629.261452,0,
"[5, 15, 20]",-3423.945873,0,
"[5, 20, 0]",-588.7445536,0,
"[5, 20, 5]",-2199.233701,0,
"[5, 20, 10]",-641.467401,0,
"[5, 20, 15]",-3654.26843,0,
"[5, 20, 20]",-3551.684421,0,
"[10, 0, 0]",3645.903319,1,
"[10, 0, 5]",2309.771004,1,
"[10, 0, 10]",5292.467846,1,
"[10, 0, 15]",2288.511825,1,
"[10, 0, 20]",3733.511825,1,
"[10, 5, 0]",5089.713597,1,
"[10, 5, 5]",3753.581283,1,
"[10, 5, 10]",3846.278124,1,
"[10, 5, 15]",2298.546554,1,
"[10, 5, 20]",2288.511825,1,
"[10, 10, 0]",753.5238759,1,
"[10, 10, 5]",-601.4881754,0,
"[10, 10, 10]",956.2781241,1,
"[10, 10, 15]",-2056.522904,0,
"[10, 10, 20]",-2056.522904,0,
"[10, 15, 0]",753.5238759,1,
"[10, 15, 5]",-729.2267232,0,
"[10, 15, 10]",828.5395763,1,
"[10, 15, 15]",-2184.261452,0,
"[10, 15, 20]",-2184.261452,0,
"[10, 20, 0]",753.5238759,1,
"[10, 20, 5]",-856.965271,0,
"[10, 20, 10]",700.8010285,1,
"[10, 20, 15]",-2312,0,
"[10, 20, 20]",-2312,0,
"[15, 0, 0]",2098.171748,1,
"[15, 0, 5]",599.2591794,1,
"[15, 0, 10]",3479.22445,1,
"[15, 0, 15]",588.034729,1,
"[15, 0, 20]",2023,1,
"[15, 5, 0]",3541.982027,1,
"[15, 5, 5]",2043.069458,1,
"[15, 5, 10]",2033.034729,1,
"[15, 5, 15]",588.034729,1,
"[15, 5, 20]",578,1,
"[15, 10, 0]",-794.2076945,0,
"[15, 10, 5]",-2301.965271,0,
"[15, 10, 10]",-856.965271,0,
"[15, 10, 15]",-3757,0,
"[15, 10, 20]",-3757,0,
"[15, 15, 0]",-794.2076945,0,
"[15, 15, 5]",-2301.965271,0,
"[15, 15, 10]",-856.965271,0,
"[15, 15, 15]",-3757,0,
"[15, 15, 20]",-3757,0,
"[15, 20, 0]",-794.2076945,0,
"[15, 20, 5]",-2301.965271,0,
"[15, 20, 10]",-856.965271,0,
"[15, 20, 15]",-3757,0,
"[15, 20, 20]",-3757,0,
"[20, 0, 0]",2098.171748,1,
"[20, 0, 5]",599.2591794,1,
"[20, 0, 10]",3479.22445,1,
"[20, 0, 15]",588.034729,1,
"[20, 0, 20]",2023,1,
"[20, 5, 0]",3541.982027,1,
"[20, 5, 5]",2043.069458,1,
"[20, 5, 10]",2033.034729,1,
"[20, 5, 15]",578,1,
"[20, 5, 20]",578,1,
"[20, 10, 0]",-794.2076945,0,
"[20, 10, 5]",-2301.965271,0,
"[20, 10, 10]",-867,0,
"[20, 10, 15]",-3757,0,
"[20, 10, 20]",-3757,0,
"[20, 15, 0]",-794.2076945,0,
"[20, 15, 5]",-2301.965271,0,
"[20, 15, 10]",-867,0,
"[20, 15, 15]",-3757,0,
"[20, 15, 20]",-3757,0,
"[20, 20, 0]",-794.2076945,0,
"[20, 20, 5]",-2301.965271,0,
"[20, 20, 10]",-867,0,
"[20, 20, 15]",-3757,0,
"[20, 20, 20]",-3757,0,
